element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
1.0000000000e+00,1.0000000000e+00,4.0000000000e+00,5.0000000000e+00,2.0000000000e+00,7.5376292548e+06,9.5984149842e+05,7.1326291957e+05,7.2130751489e+06
2.0000000000e+00,2.0000000000e+00,5.0000000000e+00,6.0000000000e+00,3.0000000000e+00,-6.1234156924e+06,-7.9780003941e+05,7.0095064282e+05,5.8924900318e+06
3.0000000000e+00,4.0000000000e+00,7.0000000000e+00,8.0000000000e+00,5.0000000000e+00,5.7968896739e+06,-2.4794577425e+05,7.0352464996e+05,6.0487653365e+06
4.0000000000e+00,5.0000000000e+00,8.0000000000e+00,9.0000000000e+00,6.0000000000e+00,-4.3826761115e+06,2.0929764378e+05,7.1068891243e+05,4.6566270386e+06
5.0000000000e+00,7.0000000000e+00,1.0000000000e+01,1.1000000000e+01,8.0000000000e+00,4.3963314049e+06,6.0820581411e+04,7.0846806023e+05,4.5353966210e+06
6.0000000000e+00,8.0000000000e+00,1.1000000000e+01,1.2000000000e+01,9.0000000000e+00,-2.9821178425e+06,-5.1902064628e+04,7.0574550216e+05,3.1992456485e+06
7.0000000000e+00,1.0000000000e+01,1.3000000000e+01,1.4000000000e+01,1.1000000000e+01,2.9119094079e+06,-2.9054408170e+03,7.0667069271e+05,3.1600372823e+06
8.0000000000e+00,1.1000000000e+01,1.4000000000e+01,1.5000000000e+01,1.2000000000e+01,-1.4976958455e+06,9.4558571136e+02,7.0754286967e+05,1.9355517758e+06
9.0000000000e+00,1.3000000000e+01,1.6000000000e+01,1.7000000000e+01,1.4000000000e+01,1.4303525091e+06,-4.8319881725e+04,7.0720370323e+05,1.9020433247e+06
1.0000000000e+01,1.4000000000e+01,1.7000000000e+01,1.8000000000e+01,1.5000000000e+01,-1.6138946701e+04,4.8650056228e+04,7.0700985915e+05,1.2259695253e+06
