node,x_m,y_m,ux_m,uy_m,u_mag_m
1.0000000000e+00,-7.1120000000e-01,-5.0800000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
2.0000000000e+00,-7.1120000000e-01,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
3.0000000000e+00,-7.1120000000e-01,5.0800000000e-02,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
4.0000000000e+00,-4.2672000000e-01,-5.0800000000e-02,3.9319049972e-06,2.6912299382e-07,3.9411044255e-06
5.0000000000e+00,-4.2672000000e-01,0.0000000000e+00,3.9167016324e-06,5.4546460857e-19,3.9167016324e-06
6.0000000000e+00,-4.2672000000e-01,5.0800000000e-02,3.9319049972e-06,-2.6912299382e-07,3.9411044255e-06
7.0000000000e+00,-1.4224000000e-01,-5.0800000000e-02,8.0179403952e-06,2.0597073307e-07,8.0205855225e-06
8.0000000000e+00,-1.4224000000e-01,0.0000000000e+00,8.0253036955e-06,1.9990136583e-18,8.0253036955e-06
9.0000000000e+00,-1.4224000000e-01,5.0800000000e-02,8.0179403952e-06,-2.0597073307e-07,8.0205855225e-06
1.0000000000e+01,1.4224000000e-01,-5.0800000000e-02,1.2079262351e-05,2.2030463094e-07,1.2081271169e-05
1.1000000000e+01,1.4224000000e-01,0.0000000000e+00,1.2076604351e-05,4.0719535975e-18,1.2076604351e-05
1.2000000000e+01,1.4224000000e-01,5.0800000000e-02,1.2079262351e-05,-2.2030463094e-07,1.2081271169e-05
1.3000000000e+01,4.2672000000e-01,-5.0800000000e-02,1.6143174649e-05,2.1713536916e-07,1.6144634883e-05
1.4000000000e+01,4.2672000000e-01,0.0000000000e+00,1.6144071254e-05,6.4494298281e-18,1.6144071254e-05
1.5000000000e+01,4.2672000000e-01,5.0800000000e-02,1.6143174649e-05,-2.1713536915e-07,1.6144634883e-05
1.6000000000e+01,7.1120000000e-01,-5.0800000000e-02,2.0207601103e-05,2.1795433924e-07,2.0208776470e-05
1.7000000000e+01,7.1120000000e-01,0.0000000000e+00,2.0207075510e-05,8.8666512353e-18,2.0207075510e-05
1.8000000000e+01,7.1120000000e-01,5.0800000000e-02,2.0207601103e-05,-2.1795433923e-07,2.0208776470e-05
