element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
83,87,88,109,108,-3.79258991e+07,6.95868638e+03,3.74520366e+05,3.79349256e+07
84,88,89,110,109,-3.55803711e+07,-1.97297551e+03,3.73612415e+05,3.55852690e+07
85,89,90,111,110,-3.32377606e+07,4.24785372e+02,3.72828118e+05,3.32442454e+07
86,90,91,112,111,-3.08964251e+07,-1.23873784e+02,3.72743492e+05,3.09031077e+07
87,91,92,113,112,-2.85553166e+07,2.62297069e+01,3.72691448e+05,2.85626251e+07
88,92,93,114,113,-2.62142988e+07,-7.90988927e+00,3.72684114e+05,2.62222412e+07
89,93,94,115,114,-2.38732990e+07,1.66499704e+00,3.72680515e+05,2.38820250e+07
90,94,95,116,115,-2.15323061e+07,-6.71234524e-01,3.72679808e+05,2.15419791e+07
91,95,96,117,116,-1.91913149e+07,6.89452052e-01,3.72679551e+05,1.92021679e+07
92,96,97,118,117,-1.68503260e+07,-2.82186924e+00,3.72678187e+05,1.68626838e+07
93,97,98,119,118,-1.45093392e+07,1.07246157e+01,3.72679161e+05,1.45236961e+07
94,98,99,120,119,-1.21683777e+07,-4.98981935e+01,3.72657002e+05,1.21854597e+07
95,99,100,121,120,-9.82743525e+06,1.97470571e+02,3.72687628e+05,9.84871121e+06
96,100,101,122,121,-7.48689147e+06,-9.06514224e+02,3.72302156e+05,7.51415893e+06
97,101,102,123,122,-5.14640592e+06,3.66786619e+03,3.73042438e+05,5.18862849e+06
98,102,103,124,123,-2.81227632e+06,-1.67503172e+04,3.65996279e+05,2.87470554e+06
99,103,104,125,124,-4.73055693e+05,6.75699307e+04,3.79393694e+05,8.31943777e+05
