theta_deg,max_abs_sigma_x_pa,max_abs_sigma_y_pa,max_sigma_vm_pa
0.00000000e+00,3.34269217e+07,3.96148202e+05,3.32397353e+07
5.00000000e+00,3.91810856e+07,7.90841684e+05,3.90263152e+07
1.00000000e+01,4.23145316e+07,1.67466163e+06,4.23970673e+07
1.50000000e+01,4.22854050e+07,3.01619269e+06,4.28711105e+07
2.00000000e+01,3.97941121e+07,4.64724816e+06,4.11048742e+07
2.50000000e+01,3.59451332e+07,6.36709500e+06,3.80932319e+07
3.00000000e+01,3.17122122e+07,8.02615425e+06,3.46810392e+07
3.50000000e+01,2.77204114e+07,9.54084579e+06,3.13730483e+07
4.00000000e+01,2.42825211e+07,1.08650510e+07,2.83735692e+07
4.50000000e+01,2.15297891e+07,1.19568959e+07,2.57075679e+07
5.00000000e+01,1.95235390e+07,1.27554754e+07,2.33271863e+07
5.50000000e+01,1.83210993e+07,1.31682130e+07,2.11967389e+07
6.00000000e+01,1.80020911e+07,1.30709527e+07,1.93907416e+07
6.50000000e+01,1.86562424e+07,1.23311648e+07,1.82274882e+07
7.00000000e+01,2.03205562e+07,1.08715050e+07,2.05172869e+07
7.50000000e+01,2.29730372e+07,8.77806672e+06,2.33849502e+07
8.00000000e+01,2.58155243e+07,6.39754619e+06,2.60700664e+07
8.50000000e+01,2.84148642e+07,4.29334786e+06,2.80056923e+07
9.00000000e+01,2.97928881e+07,3.07268417e+06,2.86772030e+07
