theta_deg,max_abs_sigma_x_pa,max_abs_sigma_y_pa,max_sigma_vm_pa
0.00000000e+00,5.68936806e+07,6.74366420e+05,5.65753883e+07
5.00000000e+00,6.68578887e+07,1.35118315e+06,6.66034808e+07
1.00000000e+01,7.22786892e+07,2.86262035e+06,7.24544326e+07
1.50000000e+01,7.22190286e+07,5.15723823e+06,7.32916010e+07
2.00000000e+01,6.78953980e+07,7.94588796e+06,7.02488325e+07
2.50000000e+01,6.12251832e+07,1.08817520e+07,6.50479050e+07
3.00000000e+01,5.38986377e+07,1.37059244e+07,5.91521306e+07
3.50000000e+01,4.70001031e+07,1.62741919e+07,5.34366084e+07
4.00000000e+01,4.10705479e+07,1.85085591e+07,4.82565326e+07
4.50000000e+01,3.63340732e+07,2.03402566e+07,4.36564580e+07
5.00000000e+01,3.28917166e+07,2.16694994e+07,3.95540903e+07
5.50000000e+01,3.08364126e+07,2.23432365e+07,3.58865112e+07
6.00000000e+01,3.02995991e+07,2.21545221e+07,3.27789083e+07
6.50000000e+01,3.18728542e+07,2.08813791e+07,3.07760978e+07
7.00000000e+01,3.59482797e+07,1.83948826e+07,3.45246004e+07
7.50000000e+01,4.08711329e+07,1.48441531e+07,3.94798836e+07
8.00000000e+01,4.56841281e+07,1.08218518e+07,4.41279418e+07
8.50000000e+01,4.89948806e+07,7.28117781e+06,4.74874825e+07
9.00000000e+01,5.06016455e+07,5.22096975e+06,4.86585255e+07
