element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,22,21,3.34269217e+07,3.96148202e+05,4.49440695e+05,3.32397353e+07
1,1,2,23,22,3.15486194e+07,-8.44841392e+04,2.78858860e+05,3.15946383e+07
2,2,3,24,23,2.98545617e+07,2.33022513e+04,2.73546327e+05,2.98466782e+07
3,3,4,25,24,2.81833093e+07,-5.09583416e+03,2.64747051e+05,2.81895874e+07
4,4,5,26,25,2.65250044e+07,1.43392353e+03,2.64167119e+05,2.65282336e+07
5,5,6,27,26,2.48686079e+07,-3.11620315e+02,2.63619562e+05,2.48729551e+07
6,6,7,28,27,2.32130706e+07,8.97693213e+01,2.63565820e+05,2.32175141e+07
7,7,8,29,28,2.15576720e+07,-1.93832430e+01,2.63530997e+05,2.15625135e+07
8,8,9,30,29,1.99023290e+07,5.68585214e+00,2.63526784e+05,1.99075595e+07
9,9,10,31,30,1.82469950e+07,-1.25239664e+00,2.63524624e+05,1.82527035e+07
10,10,11,32,31,1.65916642e+07,4.71944963e-01,2.63524295e+05,1.65979411e+07
11,11,12,33,32,1.49363340e+07,-4.96159343e-01,2.63524185e+05,1.49433067e+07
12,12,13,34,33,1.32810050e+07,1.99360168e+00,2.63523251e+05,1.32888450e+07
13,13,14,35,34,1.16256775e+07,-7.58469167e+00,2.63523952e+05,1.16346379e+07
14,14,15,36,35,9.97036776e+06,3.52829470e+01,2.63508289e+05,9.98079112e+06
15,15,16,37,36,8.31507150e+06,-1.39632984e+02,2.63529947e+05,8.32765989e+06
16,16,17,38,37,6.66005713e+06,6.41002277e+02,2.63257378e+05,6.67532813e+06
17,17,18,39,38,5.00508393e+06,-2.59357309e+03,2.63780837e+05,5.02718548e+06
18,18,19,40,39,3.35460506e+06,1.18442629e+04,2.58798450e+05,3.37856663e+06
19,19,20,41,40,1.70052629e+06,-4.77791562e+04,2.68271853e+05,1.78640186e+06
20,21,22,43,42,1.62861654e+07,2.08215875e+05,5.37730514e+05,1.62098415e+07
21,22,23,44,43,1.60270470e+07,-2.21905695e+04,6.20742638e+05,1.60741513e+07
22,23,24,45,44,1.53000650e+07,9.00114084e+03,6.15752013e+05,1.53327037e+07
23,24,25,46,45,1.45114016e+07,-4.27020829e+02,6.18488142e+05,1.45511015e+07
24,25,26,47,46,1.36913638e+07,3.82962348e+02,6.18081482e+05,1.37329630e+07
25,26,27,48,47,1.28663722e+07,2.34643935e+01,6.18245565e+05,1.29108449e+07
26,27,28,49,48,1.20392661e+07,1.44284120e+01,6.18225657e+05,1.20867846e+07
27,28,29,50,49,1.12117843e+07,4.07177415e+00,6.18237123e+05,1.12628022e+07
28,29,30,51,50,1.03841590e+07,3.25407427e-01,6.18236651e+05,1.04392243e+07
29,30,31,52,51,9.55650616e+06,3.51256607e-01,6.18237628e+05,9.61631218e+06
30,31,32,53,52,8.72884346e+06,8.46616676e-02,6.18237735e+05,8.79428003e+06
31,32,33,54,53,7.90117853e+06,-3.53095630e-01,6.18237795e+05,7.97341074e+06
32,33,34,55,54,7.07351011e+06,2.16727966e+00,6.18238094e+05,7.15410266e+06
33,34,35,56,55,6.24583823e+06,-7.97338740e+00,6.18237134e+05,6.33697061e+06
34,35,36,57,56,5.41812169e+06,4.24240562e+01,6.18242129e+05,5.52290529e+06
35,36,37,58,57,4.59037850e+06,-1.64469666e+02,6.18223377e+05,4.71369603e+06
36,37,38,59,58,3.76191993e+06,8.27683253e+02,6.18316790e+05,3.91099419e+06
37,38,39,60,59,2.93347920e+06,-3.33105996e+03,6.17969430e+05,3.12421855e+06
38,39,40,61,60,2.09330758e+06,1.61609760e+04,6.19941558e+05,2.34549579e+06
39,40,41,62,61,1.26147300e+06,-6.63106050e+04,6.16734551e+05,1.67941799e+06
40,42,43,64,63,8.64042667e+05,1.13318036e+04,5.38290211e+05,1.26735000e+06
41,43,44,65,64,8.67136412e+05,-1.40177616e+03,6.97622629e+05,1.48767438e+06
42,44,45,66,65,8.66652271e+05,2.85637646e+01,7.21241683e+05,1.52040458e+06
43,45,46,67,66,8.66282783e+05,-1.45834729e+01,7.33337124e+05,1.53746821e+06
44,46,47,68,67,8.66144248e+05,-1.34461363e+01,7.35435335e+05,1.54039375e+06
45,47,48,69,68,8.66073803e+05,-2.21820885e+00,7.36239887e+05,1.54150357e+06
46,48,49,70,69,8.66046674e+05,-1.97617499e+00,7.36404336e+05,1.54172390e+06
47,49,50,71,70,8.66034297e+05,-5.75525189e-01,7.36458379e+05,1.54179400e+06
48,50,51,72,71,8.66029237e+05,-3.09687112e-01,7.36470825e+05,1.54180892e+06
49,51,52,73,72,8.66027025e+05,-1.16873654e-01,7.36474517e+05,1.54181291e+06
50,52,53,74,73,8.66026098e+05,-5.32155683e-02,7.36475521e+05,1.54181381e+06
51,53,54,75,74,8.66025699e+05,-2.19143549e-02,7.36475863e+05,1.54181407e+06
52,54,55,76,75,8.66025530e+05,-9.49953627e-03,7.36477234e+05,1.54181593e+06
53,55,56,77,76,8.66025457e+05,-4.01377933e-03,7.36477795e+05,1.54181670e+06
54,56,57,78,77,8.66025427e+05,-1.71654807e-03,7.36499150e+05,1.54184728e+06
55,57,58,79,78,8.66025414e+05,-7.30201584e-04,7.36493347e+05,1.54183896e+06
56,58,59,80,79,8.66025408e+05,-3.09952812e-04,7.36851660e+05,1.54235246e+06
57,59,60,81,80,8.66025406e+05,-1.31184544e-04,7.36499464e+05,1.54184772e+06
58,60,61,82,81,8.66025404e+05,-4.43663877e-05,7.42519983e+05,1.55048630e+06
59,61,62,83,82,8.66025404e+05,-5.71970298e-05,7.29987190e+05,1.53252859e+06
60,63,64,85,84,-1.45581007e+07,-1.86172998e+05,5.33240374e+05,1.44953671e+07
