element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,22,21,1.00344614e+06,1.17823922e+04,4.70106864e+03,9.97640362e+05
1,1,2,23,22,9.97232098e+05,-2.54045351e+03,-1.41944171e+03,9.98507775e+05
2,2,3,24,23,9.99539796e+05,5.15345494e+02,2.99131220e+01,9.99282224e+05
3,3,4,25,24,9.99724360e+05,-1.28328386e+02,-5.77147500e+01,9.99788535e+05
4,4,5,26,25,9.99895537e+05,2.84176066e+01,-1.22645680e+01,9.99881329e+05
5,5,6,27,26,9.99953595e+05,-8.23681418e+00,-7.12126209e+00,9.99957714e+05
6,6,7,28,27,9.99980591e+05,1.59391527e+00,-2.65805293e+00,9.99979794e+05
7,7,8,29,28,9.99991658e+05,-6.12023325e-01,-1.20961100e+00,9.99991964e+05
8,8,9,30,29,9.99996463e+05,6.78727657e-02,-4.97722253e-01,9.99996429e+05
9,9,10,31,30,9.99998489e+05,-5.49520890e-02,-2.16205505e-01,9.99998516e+05
10,10,11,32,31,9.99999357e+05,-1.96877390e-03,-9.11018467e-02,9.99999358e+05
11,11,12,33,32,9.99999726e+05,-6.32719896e-03,-3.90617654e-02,9.99999729e+05
12,12,13,34,33,9.99999883e+05,-1.28968341e-03,-1.65803550e-02,9.99999884e+05
13,13,14,35,34,9.99999950e+05,-9.09853887e-04,-7.07934633e-03,9.99999951e+05
14,14,15,36,35,9.99999979e+05,-2.95166264e-04,-3.01253755e-03,9.99999979e+05
15,15,16,37,36,9.99999991e+05,-1.49395080e-04,-1.28502137e-03,9.99999991e+05
16,16,17,38,37,9.99999996e+05,-5.74503772e-05,-5.48702431e-04,9.99999996e+05
17,17,18,39,38,9.99999998e+05,-2.55758062e-05,-2.36947773e-04,9.99999998e+05
18,18,19,40,39,9.99999999e+05,-8.57951965e-06,-1.12248890e-04,9.99999999e+05
19,19,20,41,40,1.00000000e+06,-1.10684667e-05,-5.37817544e-05,1.00000000e+06
20,21,22,43,42,9.97698590e+05,1.27264614e+04,2.59238377e+03,9.91406792e+05
