node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.40080000e-01,-5.08000000e-02,2.07797197e-05,2.39900617e-05,3.17383020e-05
2,-5.68960000e-01,-5.08000000e-02,3.99923894e-05,7.34297902e-05,8.36141453e-05
3,-4.97840000e-01,-5.08000000e-02,5.81095776e-05,1.48844478e-04,1.59785487e-04
4,-4.26720000e-01,-5.08000000e-02,7.51888032e-05,2.48198743e-04,2.59337564e-04
5,-3.55600000e-01,-5.08000000e-02,9.12529348e-05,3.70186657e-04,3.81267962e-04
6,-2.84480000e-01,-5.08000000e-02,1.06306173e-04,5.13359409e-04,5.24250785e-04
7,-2.13360000e-01,-5.08000000e-02,1.20349978e-04,6.76310310e-04,6.86935042e-04
8,-1.42240000e-01,-5.08000000e-02,1.33384669e-04,8.57624585e-04,8.67935135e-04
9,-7.11200000e-02,-5.08000000e-02,1.45410342e-04,1.05588998e-03,1.06585544e-03
10,-1.11022302e-16,-5.08000000e-02,1.56427018e-04,1.26969378e-03,1.27929345e-03
11,7.11200000e-02,-5.08000000e-02,1.66434705e-04,1.49762342e-03,1.50684320e-03
12,1.42240000e-01,-5.08000000e-02,1.75433404e-04,1.73826632e-03,1.74709664e-03
13,2.13360000e-01,-5.08000000e-02,1.83423118e-04,1.99020986e-03,1.99864438e-03
14,2.84480000e-01,-5.08000000e-02,1.90403848e-04,2.25204155e-03,2.26007627e-03
15,3.55600000e-01,-5.08000000e-02,1.96375633e-04,2.52234856e-03,2.52998135e-03
16,4.26720000e-01,-5.08000000e-02,2.01338471e-04,2.79971950e-03,2.80694968e-03
17,4.97840000e-01,-5.08000000e-02,2.05293010e-04,3.08273728e-03,3.08956540e-03
18,5.68960000e-01,-5.08000000e-02,2.08238821e-04,3.37001168e-03,3.37643927e-03
19,6.40080000e-01,-5.08000000e-02,2.10187596e-04,3.66004308e-03,3.66607340e-03
20,7.11200000e-01,-5.08000000e-02,2.11134485e-04,3.95184389e-03,3.95747999e-03
21,-7.11200000e-01,-3.04800000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,-6.40080000e-01,-3.04800000e-02,1.17151973e-05,2.24689556e-05,2.53396885e-05
23,-5.68960000e-01,-3.04800000e-02,2.32931058e-05,7.23438660e-05,7.60013403e-05
24,-4.97840000e-01,-3.04800000e-02,3.42857532e-05,1.47727222e-04,1.51653701e-04
25,-4.26720000e-01,-3.04800000e-02,4.46939877e-05,2.47166913e-04,2.51175308e-04
26,-3.55600000e-01,-3.04800000e-02,5.44983022e-05,3.69211774e-04,3.73212270e-04
27,-2.84480000e-01,-3.04800000e-02,6.36985533e-05,5.12448659e-04,5.16392423e-04
28,-2.13360000e-01,-3.04800000e-02,7.22935476e-05,6.75461928e-04,6.79319640e-04
29,-1.42240000e-01,-3.04800000e-02,8.02832381e-05,8.56839022e-04,8.60591952e-04
30,-7.11200000e-02,-3.04800000e-02,8.76675478e-05,1.05516713e-03,1.05880275e-03
31,-1.11022302e-16,-3.04800000e-02,9.44464709e-05,1.26903366e-03,1.27254335e-03
32,7.11200000e-02,-3.04800000e-02,1.00620002e-04,1.49702603e-03,1.50040372e-03
33,1.42240000e-01,-3.04800000e-02,1.06188141e-04,1.73773165e-03,1.74097307e-03
34,2.13360000e-01,-3.04800000e-02,1.11150885e-04,1.98973794e-03,1.99284008e-03
35,2.84480000e-01,-3.04800000e-02,1.15508238e-04,2.25163232e-03,2.25459315e-03
36,3.55600000e-01,-3.04800000e-02,1.19260164e-04,2.52200220e-03,2.52482041e-03
37,4.26720000e-01,-3.04800000e-02,1.22406735e-04,2.79943529e-03,2.80211016e-03
38,4.97840000e-01,-3.04800000e-02,1.24947326e-04,3.08251836e-03,3.08504964e-03
39,5.68960000e-01,-3.04800000e-02,1.26883471e-04,3.36984463e-03,3.37223253e-03
40,6.40080000e-01,-3.04800000e-02,1.28203172e-04,3.65998615e-03,3.66223083e-03
41,7.11200000e-01,-3.04800000e-02,1.28927416e-04,3.95164983e-03,3.95375248e-03
42,-7.11200000e-01,-1.01600000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
43,-6.40080000e-01,-1.01600000e-02,4.11284588e-06,2.17667059e-05,2.21518620e-05
44,-5.68960000e-01,-1.01600000e-02,8.17139240e-06,7.17746879e-05,7.22383380e-05
45,-4.97840000e-01,-1.01600000e-02,1.20979279e-05,1.47159784e-04,1.47656229e-04
46,-4.26720000e-01,-1.01600000e-02,1.58422241e-05,2.46633415e-04,2.47141695e-04
47,-3.55600000e-01,-1.01600000e-02,1.93904736e-05,3.68708558e-04,3.69218080e-04
48,-2.84480000e-01,-1.01600000e-02,2.27382992e-05,5.11976770e-04,5.12481457e-04
49,-2.13360000e-01,-1.01600000e-02,2.58847388e-05,6.75021377e-04,6.75517490e-04
50,-1.42240000e-01,-1.01600000e-02,2.88294733e-05,8.56429823e-04,8.56914920e-04
51,-7.11200000e-02,-1.01600000e-02,3.15724384e-05,1.05478929e-03,1.05526171e-03
52,-1.11022302e-16,-1.01600000e-02,3.41136117e-05,1.26868719e-03,1.26914575e-03
53,7.11200000e-02,-1.01600000e-02,3.64529891e-05,1.49671093e-03,1.49715478e-03
54,1.42240000e-01,-1.01600000e-02,3.85905688e-05,1.73744791e-03,1.73787643e-03
55,2.13360000e-01,-1.01600000e-02,4.05263490e-05,1.98948557e-03,1.98989829e-03
56,2.84480000e-01,-1.01600000e-02,4.22603267e-05,2.25141129e-03,2.25180788e-03
57,3.55600000e-01,-1.01600000e-02,4.37924775e-05,2.52181270e-03,2.52219290e-03
58,4.26720000e-01,-1.01600000e-02,4.51227714e-05,2.79927646e-03,2.79964011e-03
59,4.97840000e-01,-1.01600000e-02,4.62508176e-05,3.08239418e-03,3.08274116e-03
60,5.68960000e-01,-1.01600000e-02,4.71764673e-05,3.36973796e-03,3.37006818e-03
61,6.40080000e-01,-1.01600000e-02,4.78940015e-05,3.65997546e-03,3.66028881e-03
62,7.11200000e-01,-1.01600000e-02,4.84176153e-05,3.95139545e-03,3.95169208e-03
63,-7.11200000e-01,1.01600000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
64,-6.40080000e-01,1.01600000e-02,-3.27318397e-06,2.17301777e-05,2.19753124e-05
65,-5.68960000e-01,1.01600000e-02,-6.48567353e-06,7.17419120e-05,7.20344772e-05
66,-4.97840000e-01,1.01600000e-02,-9.56700364e-06,1.47126948e-04,1.47437670e-04
67,-4.26720000e-01,1.01600000e-02,-1.24664433e-05,2.46600557e-04,2.46915465e-04
68,-3.55600000e-01,1.01600000e-02,-1.51699718e-05,3.68675735e-04,3.68987704e-04
69,-2.84480000e-01,1.01600000e-02,-1.76731480e-05,5.11943946e-04,5.12248908e-04
70,-2.13360000e-01,1.01600000e-02,-1.99749647e-05,6.74988557e-04,6.75284052e-04
71,-1.42240000e-01,1.01600000e-02,-2.20750889e-05,8.56397003e-04,8.56681468e-04
72,-7.11200000e-02,1.01600000e-02,-2.39734485e-05,1.05475647e-03,1.05502888e-03
73,-1.11022302e-16,1.01600000e-02,-2.56700187e-05,1.26865438e-03,1.26891405e-03
74,7.11200000e-02,1.01600000e-02,-2.71647937e-05,1.49667811e-03,1.49692461e-03
75,1.42240000e-01,1.01600000e-02,-2.84577715e-05,1.73741509e-03,1.73764814e-03
76,2.13360000e-01,1.01600000e-02,-2.95489500e-05,1.98945275e-03,1.98967218e-03
77,2.84480000e-01,1.01600000e-02,-3.04383261e-05,2.25137847e-03,2.25158422e-03
78,3.55600000e-01,1.01600000e-02,-3.11258752e-05,2.52177988e-03,2.52197196e-03
79,4.26720000e-01,1.01600000e-02,-3.16115676e-05,2.79924364e-03,2.79942213e-03
80,4.97840000e-01,1.01600000e-02,-3.18950121e-05,3.08236136e-03,3.08252638e-03
81,5.68960000e-01,1.01600000e-02,-3.19760602e-05,3.36970514e-03,3.36985685e-03
82,6.40080000e-01,1.01600000e-02,-3.18489929e-05,3.65994264e-03,3.66008121e-03
83,7.11200000e-01,1.01600000e-02,-3.15280050e-05,3.95136263e-03,3.95148841e-03
84,-7.11200000e-01,3.04800000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
85,-6.40080000e-01,3.04800000e-02,-1.08753909e-05,2.23577861e-05,2.48625165e-05
86,-5.68960000e-01,3.04800000e-02,-2.16057194e-05,7.22460680e-05,7.54075690e-05
87,-4.97840000e-01,3.04800000e-02,-3.17542576e-05,1.47628646e-04,1.51005132e-04
88,-4.26720000e-01,3.04800000e-02,-4.13179179e-05,2.47068380e-04,2.50499411e-04
89,-3.55600000e-01,3.04800000e-02,-5.02776860e-05,3.69113309e-04,3.72521785e-04
90,-2.84480000e-01,3.04800000e-02,-5.86333511e-05,5.12350191e-04,5.15694278e-04
91,-2.13360000e-01,3.04800000e-02,-6.63837523e-05,6.75363469e-04,6.78618168e-04
92,-1.42240000e-01,3.04800000e-02,-7.35288445e-05,8.56740564e-04,8.59890042e-04
93,-7.11200000e-02,3.04800000e-02,-8.00685540e-05,1.05506867e-03,1.05810249e-03
94,-1.11022302e-16,3.04800000e-02,-8.60028761e-05,1.26893521e-03,1.27184632e-03
95,7.11200000e-02,3.04800000e-02,-9.13318060e-05,1.49692758e-03,1.49971120e-03
96,1.42240000e-01,3.04800000e-02,-9.60553435e-05,1.73763320e-03,1.74028611e-03
97,2.13360000e-01,3.04800000e-02,-1.00173486e-04,1.98963948e-03,1.99215963e-03
98,2.84480000e-01,3.04800000e-02,-1.03686237e-04,2.25153387e-03,2.25392005e-03
99,3.55600000e-01,3.04800000e-02,-1.06593561e-04,2.52190374e-03,2.52415544e-03
100,4.26720000e-01,3.04800000e-02,-1.08895531e-04,2.79933683e-03,2.80145408e-03
101,4.97840000e-01,3.04800000e-02,-1.10591521e-04,3.08241990e-03,3.08440318e-03
102,5.68960000e-01,3.04800000e-02,-1.11683064e-04,3.36974617e-03,3.37159641e-03
103,6.40080000e-01,3.04800000e-02,-1.12158164e-04,3.65988769e-03,3.66160584e-03
104,7.11200000e-01,3.04800000e-02,-1.12037805e-04,3.95155138e-03,3.95313935e-03
105,-7.11200000e-01,5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
106,-6.40080000e-01,5.08000000e-02,-1.99299153e-05,2.37993177e-05,3.10420528e-05
107,-5.68960000e-01,5.08000000e-02,-3.83044700e-05,7.32694099e-05,8.26779224e-05
108,-4.97840000e-01,5.08000000e-02,-5.55775785e-05,1.48679550e-04,1.58727679e-04
109,-4.26720000e-01,5.08000000e-02,-7.18125816e-05,2.48034755e-04,2.58221390e-04
110,-3.55600000e-01,5.08000000e-02,-8.70322461e-05,3.70022512e-04,3.80120074e-04
111,-2.84480000e-01,5.08000000e-02,-1.01240941e-04,5.13195315e-04,5.23086188e-04
112,-2.13360000e-01,5.08000000e-02,-1.14440170e-04,6.76146210e-04,6.85762532e-04
113,-1.42240000e-01,5.08000000e-02,-1.26630270e-04,8.57460490e-04,8.66760473e-04
114,-7.11200000e-02,5.08000000e-02,-1.37811346e-04,1.05572589e-03,1.06468264e-03
115,-1.11022302e-16,5.08000000e-02,-1.47983423e-04,1.26952969e-03,1.27812547e-03
116,7.11200000e-02,5.08000000e-02,-1.57146509e-04,1.49745933e-03,1.50568239e-03
117,1.42240000e-01,5.08000000e-02,-1.65300606e-04,1.73810222e-03,1.74594491e-03
118,2.13360000e-01,5.08000000e-02,-1.72445718e-04,1.99004577e-03,1.99750336e-03
119,2.84480000e-01,5.08000000e-02,-1.78581847e-04,2.25187745e-03,2.25894744e-03
120,3.55600000e-01,5.08000000e-02,-1.83709030e-04,2.52218446e-03,2.52886604e-03
121,4.26720000e-01,5.08000000e-02,-1.87827267e-04,2.79955541e-03,2.80584917e-03
122,4.97840000e-01,5.08000000e-02,-1.90937204e-04,3.08257319e-03,3.08848094e-03
123,5.68960000e-01,5.08000000e-02,-1.93038414e-04,3.36984758e-03,3.37537206e-03
124,6.40080000e-01,5.08000000e-02,-1.94142587e-04,3.65987899e-03,3.66502463e-03
125,7.11200000e-01,5.08000000e-02,-1.94244875e-04,3.95167979e-03,3.95645097e-03
