element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,22,21,5.68936806e+07,6.74366420e+05,7.73753051e+05,5.65753883e+07
1,1,2,23,22,5.36465796e+07,-1.43790368e+05,4.84417155e+05,5.37251712e+07
2,2,3,24,23,5.07100779e+07,3.98453378e+04,4.73766223e+05,5.06968085e+07
3,3,4,25,24,4.78151992e+07,-8.69791529e+03,4.58613058e+05,4.78261458e+07
4,4,5,26,25,4.49427598e+07,2.45521080e+03,4.57563136e+05,4.49485195e+07
5,5,6,27,26,4.20737388e+07,-5.31505403e+02,4.56609597e+05,4.20814370e+07
6,6,7,28,27,3.92062370e+07,1.53891110e+02,4.56512049e+05,3.92141326e+07
7,7,8,29,28,3.63389916e+07,-3.29607385e+01,4.56450287e+05,3.63476072e+07
8,8,9,30,29,3.34718486e+07,9.78031197e+00,4.56442277e+05,3.34811789e+07
9,9,10,31,30,3.06047239e+07,-2.11426259e+00,4.56438254e+05,3.06149342e+07
10,10,11,32,31,2.77376060e+07,8.19401660e-01,4.56437559e+05,2.77488697e+07
11,11,12,33,32,2.48704896e+07,-8.53045683e-01,4.56437316e+05,2.48830520e+07
12,12,13,34,33,2.20033755e+07,3.45430870e+00,4.56435676e+05,2.20175716e+07
13,13,14,35,34,1.91362641e+07,-1.31361615e+01,4.56436882e+05,1.91525941e+07
14,14,15,36,35,1.62691836e+07,6.11121528e+01,4.56409748e+05,1.62883476e+07
15,15,16,37,36,1.34021263e+07,-2.41851273e+02,4.56447259e+05,1.34255452e+07
16,16,17,38,37,1.05355573e+07,1.11024857e+03,4.55975156e+05,1.05645640e+07
17,17,18,39,38,7.66905966e+06,-4.49220034e+03,4.56881812e+05,7.71201466e+06
18,18,19,40,39,4.81034640e+06,2.05148651e+04,4.48252065e+05,4.86250547e+06
19,19,20,41,40,1.94539794e+06,-8.27559261e+04,4.64660480e+05,2.14479439e+06
20,21,22,43,42,2.72107673e+07,3.47914014e+05,9.28784187e+05,2.70863030e+07
21,22,23,44,43,2.67575332e+07,-3.66032179e+04,1.07557107e+06,2.68405829e+07
22,23,24,45,44,2.55003916e+07,1.54716695e+04,1.06663701e+06,2.55595153e+07
23,24,25,46,45,2.41343578e+07,-7.11804491e+02,1.07130631e+06,2.42059393e+07
24,25,26,47,46,2.27141019e+07,6.71673854e+02,1.07057522e+06,2.27893300e+07
25,26,27,48,47,2.12851920e+07,4.26200766e+01,1.07084285e+06,2.13658279e+07
26,27,28,49,48,1.98526134e+07,2.65616109e+01,1.07080293e+06,1.99390468e+07
27,28,29,50,49,1.84193768e+07,7.48293737e+00,1.07082001e+06,1.85125166e+07
28,29,30,51,50,1.69858896e+07,8.17071862e-01,1.07081812e+06,1.70868484e+07
29,30,31,52,51,1.55523536e+07,6.96625944e-01,1.07081933e+06,1.56625558e+07
30,31,32,53,52,1.41188001e+07,1.89682057e-01,1.07081932e+06,1.42401010e+07
31,32,33,54,53,1.26852425e+07,-5.94731859e-01,1.07081934e+06,1.28201150e+07
32,33,34,55,54,1.12516788e+07,3.76142125e+00,1.07081982e+06,1.14035170e+07
33,34,35,56,55,9.81810913e+06,-1.38071924e+01,1.07081814e+06,9.99176446e+06
34,35,36,57,56,8.38446205e+06,7.34819804e+01,1.07082678e+06,8.58711813e+06
35,36,37,58,57,6.95076879e+06,-2.84869246e+02,1.07079430e+06,7.19409259e+06
36,37,38,59,58,5.51583645e+06,1.43358969e+03,1.07095610e+06,5.81871010e+06
37,38,39,60,59,4.08093502e+06,-5.76956499e+03,1.07035445e+06,4.48492866e+06
38,39,40,61,60,2.62571508e+06,2.79916316e+04,1.07377028e+06,3.20633950e+06
39,40,41,62,61,1.18493533e+06,-1.14853337e+05,1.06821558e+06,2.23083176e+06
40,42,43,64,63,4.98855266e+05,6.54241985e+03,9.32345995e+05,1.68921367e+06
41,43,44,65,64,5.00641441e+05,-8.09315842e+02,1.20831784e+06,2.15200922e+06
42,44,45,66,65,5.00361922e+05,1.64912972e+01,1.24922724e+06,2.22082415e+06
43,45,46,67,66,5.00148598e+05,-8.41977206e+00,1.27017716e+06,2.25614779e+06
44,46,47,68,67,5.00068615e+05,-7.76313039e+00,1.27381137e+06,2.26226848e+06
45,47,48,69,68,5.00027943e+05,-1.28068348e+00,1.27520489e+06,2.26461280e+06
46,48,49,70,69,5.00012280e+05,-1.14094515e+00,1.27548973e+06,2.26509050e+06
47,49,50,71,70,5.00005135e+05,-3.32279528e-01,1.27558333e+06,2.26524696e+06
48,50,51,72,71,5.00002213e+05,-1.78797540e-01,1.27560489e+06,2.26528272e+06
49,51,52,73,72,5.00000936e+05,-6.74768328e-02,1.27561128e+06,2.26529323e+06
50,52,53,74,73,5.00000401e+05,-3.07245094e-02,1.27561302e+06,2.26529604e+06
51,53,54,75,74,5.00000170e+05,-1.26526972e-02,1.27561361e+06,2.26529699e+06
52,54,55,76,75,5.00000073e+05,-5.48465220e-03,1.27561599e+06,2.26530098e+06
53,55,56,77,76,5.00000031e+05,-2.31703641e-03,1.27561696e+06,2.26530261e+06
54,56,57,78,77,5.00000013e+05,-9.91071541e-04,1.27565395e+06,2.26536509e+06
55,57,58,79,78,5.00000006e+05,-4.22149079e-04,1.27564390e+06,2.26534811e+06
56,58,59,80,79,5.00000002e+05,-1.79262407e-04,1.27626451e+06,2.26639655e+06
57,59,60,81,80,5.00000001e+05,-7.48442289e-05,1.27565449e+06,2.26536601e+06
58,60,61,82,81,5.00000000e+05,-2.44677628e-05,1.28608234e+06,2.28298562e+06
59,61,62,83,82,5.00000000e+05,-3.13885433e-05,1.26437490e+06,2.24631513e+06
60,63,64,85,84,-2.62130687e+07,-3.35187552e+05,9.26191803e+05,2.60964465e+07
61,64,65,86,85,-2.57554067e+07,3.47712420e+04,1.07598436e+06,2.58401037e+07
62,65,66,87,86,-2.45002933e+07,-1.53529057e+04,1.06676024e+06,2.45622147e+07
63,66,67,88,87,-2.31342307e+07,6.83987210e+02,1.07135972e+06,2.32088752e+07
64,67,68,89,88,-2.17140660e+07,-6.80037463e+02,1.07060190e+06,2.17927617e+07
65,68,69,90,89,-2.02851735e+07,-4.45986304e+01,1.07085296e+06,2.03697702e+07
66,69,70,91,90,-1.88526063e+07,-2.81324792e+01,1.07080761e+06,1.89436036e+07
67,70,71,92,91,-1.74193736e+07,-7.91335440e+00,1.07082190e+06,1.75178314e+07
68,71,72,93,92,-1.59858883e+07,-1.07052012e+00,1.07081896e+06,1.60931218e+07
69,72,73,94,93,-1.45523531e+07,-7.84859085e-01,1.07081968e+06,1.46700693e+07
70,73,74,95,94,-1.31187999e+07,-2.32726072e-01,1.07081947e+06,1.32492592e+07
71,74,75,96,95,-1.16852424e+07,5.77884878e-01,1.07081940e+06,1.18315198e+07
72,75,76,97,96,-1.02516788e+07,-3.76900533e+00,1.07081984e+06,1.04181018e+07
73,76,77,98,97,-8.81810911e+06,1.38040705e+01,1.07081815e+06,9.01105569e+06
