element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,22,21,6.51158237e+07,7.71888701e+05,8.90738901e+05,6.47517134e+07
1,1,2,23,22,6.13699821e+07,-1.64568084e+05,5.60176265e+05,6.14600904e+07
2,2,3,24,23,5.79778697e+07,4.57118981e+04,5.47040842e+05,5.79627720e+07
3,3,4,25,24,5.46350452e+07,-9.96939704e+03,5.29594067e+05,5.46477296e+07
4,4,5,26,25,5.13181389e+07,2.81862632e+03,5.28355480e+05,5.13248889e+07
5,5,6,27,26,4.80052454e+07,-6.08974048e+02,5.27251459e+05,4.80142354e+07
6,6,7,28,27,4.46941240e+07,1.76777901e+02,5.27136244e+05,4.47033604e+07
7,7,8,29,28,4.13833077e+07,-3.77064304e+01,5.27064090e+05,4.13933945e+07
8,8,9,30,29,3.80726133e+07,1.12541455e+01,5.27054431e+05,3.80835505e+07
9,9,10,31,30,3.47619417e+07,-2.40961350e+00,5.27049622e+05,3.47739273e+07
10,10,11,32,31,3.14512787e+07,9.47299761e-01,5.27048748e+05,3.14645236e+07
11,11,12,33,32,2.81406176e+07,-9.81359581e-01,5.27048437e+05,2.81554209e+07
12,12,13,34,33,2.48299594e+07,3.98943695e+00,5.27046530e+05,2.48467325e+07
13,13,14,35,34,2.15193043e+07,-1.51678072e+01,5.27047917e+05,2.15386657e+07
14,14,15,36,35,1.82086848e+07,7.05664064e+01,5.27016584e+05,1.82315154e+07
15,15,16,37,36,1.48980922e+07,-2.79265708e+02,5.27059897e+05,1.49261746e+07
16,16,17,38,37,1.15880635e+07,1.28200465e+03,5.26514758e+05,1.16232531e+07
17,17,18,39,38,8.27811705e+06,-5.18714614e+03,5.27561674e+05,8.33097548e+06
18,18,19,40,39,4.97715931e+06,2.36885258e+04,5.17596901e+05,5.04564109e+06
19,19,20,41,40,1.66900178e+06,-9.55583124e+04,5.36543707e+05,1.95392496e+06
20,21,22,43,42,3.08442661e+07,3.94388873e+05,1.07097089e+06,3.07050581e+07
21,22,23,44,43,3.03183600e+07,-4.12080637e+04,1.24220111e+06,3.04151804e+07
22,23,24,45,44,2.88679089e+07,1.77965767e+04,1.23171747e+06,2.89377628e+07
23,24,25,46,45,2.72905323e+07,-8.05860714e+02,1.23706881e+06,2.73749185e+07
