node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.40080000e-01,-5.08000000e-02,3.55008955e-05,4.14418796e-05,5.45686995e-05
2,-5.68960000e-01,-5.08000000e-02,6.82943297e-05,1.27091532e-04,1.44278803e-04
3,-4.97840000e-01,-5.08000000e-02,9.91868904e-05,2.57710978e-04,2.76139435e-04
4,-4.26720000e-01,-5.08000000e-02,1.28281565e-04,4.29798155e-04,4.48533849e-04
5,-3.55600000e-01,-5.08000000e-02,1.55617904e-04,6.41087328e-04,6.59704399e-04
6,-2.84480000e-01,-5.08000000e-02,1.81203280e-04,8.89069839e-04,9.07347677e-04
7,-2.13360000e-01,-5.08000000e-02,2.05040248e-04,1.17130908e-03,1.18912003e-03
8,-1.42240000e-01,-5.08000000e-02,2.27129370e-04,1.48535462e-03,1.50261974e-03
9,-7.11200000e-02,-5.08000000e-02,2.47470818e-04,1.82876036e-03,1.84542847e-03
10,-1.11022302e-16,-5.08000000e-02,2.66064631e-04,2.19907941e-03,2.21511639e-03
11,7.11200000e-02,-5.08000000e-02,2.82910823e-04,2.59386512e-03,2.60924794e-03
12,1.42240000e-01,-5.08000000e-02,2.98009396e-04,3.01067084e-03,3.02538402e-03
13,2.13360000e-01,-5.08000000e-02,3.11360355e-04,3.44704986e-03,3.46108336e-03
14,2.84480000e-01,-5.08000000e-02,3.22963703e-04,3.90055564e-03,3.91390341e-03
15,3.55600000e-01,-5.08000000e-02,3.32819507e-04,4.36874111e-03,4.38140020e-03
16,4.26720000e-01,-5.08000000e-02,3.40927764e-04,4.84916169e-03,4.86113164e-03
17,4.97840000e-01,-5.08000000e-02,3.47289595e-04,5.33936286e-03,5.35064537e-03
18,5.68960000e-01,-5.08000000e-02,3.51904259e-04,5.83693671e-03,5.84753510e-03
19,6.40080000e-01,-5.08000000e-02,3.54792005e-04,6.33928583e-03,6.34920643e-03
20,7.11200000e-01,-5.08000000e-02,3.55944435e-04,6.84469965e-03,6.85394848e-03
21,-7.11200000e-01,-3.04800000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,-6.40080000e-01,-3.04800000e-02,1.98064545e-05,3.88531890e-05,4.36103879e-05
23,-5.68960000e-01,-3.04800000e-02,3.93706298e-05,1.25246788e-04,1.31289011e-04
24,-4.97840000e-01,-3.04800000e-02,5.79231069e-05,2.55814142e-04,2.62289842e-04
25,-4.26720000e-01,-3.04800000e-02,7.54630827e-05,4.28048764e-04,4.34649768e-04
26,-3.55600000e-01,-3.04800000e-02,9.19570545e-05,6.39436702e-04,6.46015012e-04
27,-2.84480000e-01,-3.04800000e-02,1.07404735e-04,8.87530264e-04,8.94005451e-04
28,-2.13360000e-01,-3.04800000e-02,1.21804076e-04,1.16987753e-03,1.17620138e-03
29,-1.42240000e-01,-3.04800000e-02,1.35154996e-04,1.48403188e-03,1.49017364e-03
30,-7.11200000e-02,-3.04800000e-02,1.47457366e-04,1.82754623e-03,1.83348545e-03
31,-1.11022302e-16,-3.04800000e-02,1.58711174e-04,2.19797394e-03,2.20369659e-03
32,7.11200000e-02,-3.04800000e-02,1.68916413e-04,2.59286831e-03,2.59836464e-03
33,1.42240000e-01,-3.04800000e-02,1.78073082e-04,3.00978267e-03,3.01504589e-03
34,2.13360000e-01,-3.04800000e-02,1.86181176e-04,3.44627036e-03,3.45129582e-03
35,2.84480000e-01,-3.04800000e-02,1.93240701e-04,3.89988474e-03,3.90466938e-03
36,3.55600000e-01,-3.04800000e-02,1.99251596e-04,4.36817910e-03,4.37272111e-03
37,4.26720000e-01,-3.04800000e-02,2.04213986e-04,4.84870731e-03,4.85300586e-03
38,4.97840000e-01,-3.04800000e-02,2.08126789e-04,5.33902157e-03,5.34307665e-03
39,5.68960000e-01,-3.04800000e-02,2.10992659e-04,5.83668527e-03,5.84049765e-03
40,6.40080000e-01,-3.04800000e-02,2.12790818e-04,6.33922512e-03,6.34279552e-03
41,7.11200000e-01,-3.04800000e-02,2.13557613e-04,6.84440144e-03,6.84773232e-03
42,-7.11200000e-01,-1.01600000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
43,-6.40080000e-01,-1.01600000e-02,6.63887899e-06,3.76799510e-05,3.82603374e-05
44,-5.68960000e-01,-1.01600000e-02,1.31800166e-05,1.24298483e-04,1.24995303e-04
45,-4.97840000e-01,-1.01600000e-02,1.94929960e-05,2.54869265e-04,2.55613613e-04
46,-4.26720000e-01,-1.01600000e-02,2.54905291e-05,4.27162635e-04,4.27922521e-04
47,-3.55600000e-01,-1.01600000e-02,3.11485776e-05,6.38603005e-04,6.39362207e-04
48,-2.84480000e-01,-1.01600000e-02,3.64595231e-05,8.86750827e-04,8.87500043e-04
49,-2.13360000e-01,-1.01600000e-02,4.14216730e-05,1.16915237e-03,1.16988590e-03
50,-1.42240000e-01,-1.01600000e-02,4.60344669e-05,1.48336102e-03,1.48407516e-03
51,-7.11200000e-02,-1.01600000e-02,5.02977886e-05,1.82692970e-03,1.82762195e-03
52,-1.11022302e-16,-1.01600000e-02,5.42115980e-05,2.19741173e-03,2.19808035e-03
53,7.11200000e-02,-1.01600000e-02,5.77758871e-05,2.59236043e-03,2.59300417e-03
54,1.42240000e-01,-1.01600000e-02,6.09906525e-05,3.00932911e-03,3.00994710e-03
55,2.13360000e-01,-1.01600000e-02,6.38558912e-05,3.44587114e-03,3.44646275e-03
56,2.84480000e-01,-1.01600000e-02,6.63715977e-05,3.89953979e-03,3.90010458e-03
