theta_deg,max_abs_sigma_x_pa,max_abs_sigma_y_pa,max_sigma_vm_pa
0.00000000e+00,6.51158237e+07,7.71888701e+05,6.47517134e+07
5.00000000e+00,7.66201745e+07,1.54947617e+06,7.63343573e+07
1.00000000e+01,8.28758305e+07,3.28354227e+06,8.30978682e+07
1.50000000e+01,8.28016218e+07,5.91640595e+06,8.40739991e+07
2.00000000e+01,7.78041668e+07,9.11543350e+06,8.05701838e+07
2.50000000e+01,7.00999947e+07,1.24806524e+07,7.45737356e+07
3.00000000e+01,6.16429668e+07,1.57132032e+07,6.77743065e+07
3.50000000e+01,5.36861551e+07,1.86468814e+07,6.11828383e+07
4.00000000e+01,4.68537545e+07,2.11927137e+07,5.52102210e+07
4.50000000e+01,4.14026717e+07,2.32734619e+07,4.99086542e+07
5.00000000e+01,3.74465854e+07,2.47771985e+07,4.51834560e+07
5.50000000e+01,3.50891340e+07,2.55314078e+07,4.09613277e+07
6.00000000e+01,3.44783540e+07,2.53018053e+07,3.73845722e+07
6.50000000e+01,3.74678523e+07,2.38364447e+07,3.50785643e+07
7.00000000e+01,4.21570704e+07,2.09893662e+07,3.92810888e+07
7.50000000e+01,4.78178415e+07,1.69327606e+07,4.49962177e+07
8.00000000e+01,5.33517776e+07,1.23464510e+07,5.03617741e+07
8.50000000e+01,5.71588539e+07,8.31802204e+06,5.43297927e+07
9.00000000e+01,5.78517329e+07,5.97030070e+06,5.56018388e+07
