element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,26,25,-6.41113038e+07,-8.21282024e+06,-6.13817619e+06,6.13531312e+07
1,1,2,27,26,-4.62229625e+07,2.98867572e+06,-2.22441537e+06,4.79425068e+07
2,2,3,28,27,-3.16808748e+07,5.99177036e+05,-3.00955317e+06,3.24066586e+07
3,3,4,29,28,-1.80815045e+07,1.07994098e+06,-2.50090819e+06,1.91415167e+07
4,4,5,30,29,-6.08710444e+06,9.83230104e+05,-2.23413699e+06,7.67975979e+06
5,5,6,31,30,4.41996844e+06,1.00361060e+06,-1.93315004e+06,5.22672319e+06
6,6,7,32,31,1.34249510e+07,9.99064607e+05,-1.63607922e+06,1.32606679e+07
7,7,8,33,32,2.09291547e+07,1.00011370e+06,-1.33854447e+06,2.05784673e+07
8,8,9,34,33,2.69325185e+07,9.99870389e+05,-1.04111295e+06,2.65081688e+07
9,9,10,35,34,3.14350461e+07,9.99926150e+05,-7.43644918e+05,3.09739935e+07
10,10,11,36,35,3.44367275e+07,9.99913548e+05,-4.46188530e+05,3.39566124e+07
11,11,12,37,36,3.59375694e+07,9.99916266e+05,-1.48729355e+05,3.54491259e+07
12,12,13,38,37,3.59375694e+07,9.99916266e+05,1.48729355e+05,3.54491259e+07
13,13,14,39,38,3.44367275e+07,9.99913548e+05,4.46188530e+05,3.39566124e+07
14,14,15,40,39,3.14350461e+07,9.99926150e+05,7.43644918e+05,3.09739935e+07
15,15,16,41,40,2.69325185e+07,9.99870389e+05,1.04111295e+06,2.65081688e+07
16,16,17,42,41,2.09291547e+07,1.00011370e+06,1.33854447e+06,2.05784673e+07
17,17,18,43,42,1.34249510e+07,9.99064607e+05,1.63607922e+06,1.32606679e+07
18,18,19,44,43,4.41996844e+06,1.00361060e+06,1.93315004e+06,5.22672319e+06
19,19,20,45,44,-6.08710444e+06,9.83230104e+05,2.23413699e+06,7.67975979e+06
20,20,21,46,45,-1.80815045e+07,1.07994098e+06,2.50090819e+06,1.91415167e+07
21,21,22,47,46,-3.16808748e+07,5.99177036e+05,3.00955317e+06,3.24066586e+07
22,22,23,48,47,-4.62229625e+07,2.98867572e+06,2.22441537e+06,4.79425068e+07
23,23,24,49,48,-6.41113038e+07,-8.21282024e+06,6.13817619e+06,6.13531312e+07
24,25,26,51,50,-3.65513690e+07,-4.85244276e+06,-6.99619575e+06,3.64558036e+07
25,26,27,52,51,-2.86840638e+07,1.50719167e+06,-6.96346122e+06,3.18394237e+07
26,27,28,53,52,-1.88316430e+07,9.15207210e+05,-5.97574952e+06,2.19050676e+07
27,28,29,54,53,-1.09247849e+07,7.93521716e+05,-5.47957532e+06,1.47894183e+07
28,29,30,55,54,-3.68772022e+06,8.66128935e+05,-4.79472699e+06,9.30116776e+06
29,30,31,56,55,2.61173630e+06,8.44943547e+05,-4.16538324e+06,7.57493096e+06
30,31,32,57,56,8.01517502e+06,8.49780361e+05,-3.52234631e+06,9.76600172e+06
31,32,33,58,57,1.25176227e+07,8.48792241e+05,-2.88237737e+06,1.31038453e+07
32,33,34,59,58,1.61196766e+07,8.48992504e+05,-2.24176277e+06,1.61850480e+07
33,34,35,60,59,1.88211770e+07,8.48947281e+05,-1.60127308e+06,1.86191153e+07
34,35,36,61,60,2.06221915e+07,8.48959213e+05,-9.60762061e+05,2.02794799e+07
35,36,37,62,61,2.15226951e+07,8.48956018e+05,-3.20254136e+05,2.11183095e+07
36,37,38,63,62,2.15226951e+07,8.48956018e+05,3.20254136e+05,2.11183095e+07
37,38,39,64,63,2.06221915e+07,8.48959213e+05,9.60762061e+05,2.02794799e+07
38,39,40,65,64,1.88211770e+07,8.48947281e+05,1.60127308e+06,1.86191153e+07
39,40,41,66,65,1.61196766e+07,8.48992504e+05,2.24176277e+06,1.61850480e+07
40,41,42,67,66,1.25176227e+07,8.48792241e+05,2.88237737e+06,1.31038453e+07
41,42,43,68,67,8.01517502e+06,8.49780361e+05,3.52234631e+06,9.76600172e+06
42,43,44,69,68,2.61173630e+06,8.44943547e+05,4.16538324e+06,7.57493096e+06
43,44,45,70,69,-3.68772022e+06,8.66128935e+05,4.79472699e+06,9.30116776e+06
44,45,46,71,70,-1.09247849e+07,7.93521716e+05,5.47957532e+06,1.47894183e+07
45,46,47,72,71,-1.88316430e+07,9.15207210e+05,5.97574952e+06,2.19050676e+07
46,47,48,73,72,-2.86840638e+07,1.50719167e+06,6.96346122e+06,3.18394237e+07
47,48,49,74,73,-3.65513690e+07,-4.85244276e+06,6.99619575e+06,3.64558036e+07
48,50,51,76,75,-1.18123513e+07,-1.45335049e+06,-7.16692908e+06,1.66904464e+07
49,51,52,77,76,-9.57333628e+06,7.66599206e+05,-9.12767218e+06,1.86954153e+07
50,52,53,78,77,-6.20798701e+06,6.90455060e+05,-7.63452681e+06,1.47702460e+07
51,53,54,79,78,-3.54693309e+06,5.99496954e+05,-6.89789288e+06,1.25622166e+07
52,54,55,80,79,-1.15415518e+06,6.28552152e+05,-6.09601768e+06,1.06741226e+07
53,55,56,81,80,9.52848046e+05,6.24540883e+05,-5.27634124e+06,9.17726586e+06
54,56,57,82,81,2.75188480e+06,6.24177194e+05,-4.46659056e+06,8.12995062e+06
