element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
120,125,126,151,150,1.01924193e+06,1.30099216e+05,-6.13208773e+04,9.66673722e+05
121,126,127,152,151,9.74247399e+05,-2.74009761e+04,2.47011295e+04,9.89158519e+05
122,127,128,153,152,1.00176988e+06,5.00540623e+03,-1.99973690e+03,9.99282583e+05
123,128,129,154,153,1.00080939e+06,-9.80633240e+02,-2.37277519e+02,1.00130016e+06
124,129,130,155,154,9.99895554e+05,2.20731611e+02,-3.21297025e+01,9.99785208e+05
125,130,131,156,155,9.99967211e+05,-4.80248102e+01,3.60290882e+01,9.99991226e+05
126,131,132,157,156,1.00000832e+06,9.52437542e+00,-4.78365973e+00,1.00000356e+06
127,132,133,158,157,1.00000040e+06,-2.05140770e+00,-8.12837820e-01,1.00000143e+06
128,133,134,159,158,9.99999707e+05,5.42834217e-01,2.66882788e-01,9.99999436e+05
129,134,135,160,159,9.99999984e+05,-1.49949231e-01,5.84333809e-04,1.00000006e+06
130,135,136,161,160,1.00000002e+06,3.81692621e-02,-7.20974683e-03,9.99999999e+05
131,136,137,162,161,9.99999998e+05,-9.25656937e-03,-1.73577360e-04,1.00000000e+06
132,137,138,163,162,1.00000000e+06,2.28459250e-03,3.32852145e-04,9.99999998e+05
133,138,139,164,163,1.00000000e+06,-5.66649052e-04,2.33360493e-05,1.00000000e+06
134,139,140,165,164,1.00000000e+06,1.33504806e-04,-3.65128807e-05,1.00000000e+06
135,140,141,166,165,1.00000000e+06,-2.94413973e-05,9.02016706e-06,1.00000000e+06
136,141,142,167,166,1.00000000e+06,6.29326674e-06,-1.28475025e-06,1.00000000e+06
137,142,143,168,167,1.00000000e+06,-1.34333600e-06,2.81969124e-07,1.00000000e+06
138,143,144,169,168,1.00000000e+06,2.79848881e-07,-1.01024968e-07,1.00000000e+06
139,144,145,170,169,1.00000000e+06,-5.32116645e-08,2.63451680e-08,1.00000000e+06
140,145,146,171,170,1.00000000e+06,6.96489587e-09,-3.81409163e-09,1.00000000e+06
141,146,147,172,171,1.00000000e+06,2.17338704e-09,2.41160054e-09,1.00000000e+06
142,147,148,173,172,1.00000000e+06,9.67657984e-10,-4.80039634e-09,1.00000000e+06
143,148,149,174,173,1.00000000e+06,-1.21466710e-09,4.84030462e-09,1.00000000e+06
