element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,26,25,4.38152369e+07,5.32171380e+06,1.33737680e+06,4.14763691e+07
1,1,2,27,26,4.14446323e+07,-1.20403717e+06,-1.10344322e+05,4.20600126e+07
2,2,3,28,27,3.98703302e+07,2.49383240e+05,4.73760819e+05,3.97546950e+07
3,3,4,29,28,3.79944725e+07,-4.99929626e+04,3.40995016e+05,3.80240809e+07
4,4,5,30,29,3.61844108e+07,1.02411481e+04,3.63208431e+05,3.61847603e+07
5,5,6,31,30,3.43639589e+07,-2.21354596e+03,3.60286753e+05,3.43707312e+07
6,6,7,32,31,3.25447627e+07,5.02565575e+02,3.60608980e+05,3.25505045e+07
7,7,8,33,32,3.07254686e+07,-1.16623147e+02,3.60564916e+05,3.07318731e+07
8,8,9,34,33,2.89061737e+07,2.69495527e+01,3.60578214e+05,2.89129062e+07
9,9,10,35,34,2.70868778e+07,-6.13630252e+00,3.60573329e+05,2.70940797e+07
10,10,11,36,35,2.52675840e+07,1.38924601e+00,3.60574729e+05,2.52753004e+07
11,11,12,37,36,2.34482891e+07,-3.21315160e-01,3.60574444e+05,2.34566049e+07
12,12,13,38,37,2.16289946e+07,8.18036943e-02,3.60574476e+05,2.16380093e+07
13,13,14,39,38,1.98097000e+07,-4.11904048e-02,3.60574487e+05,1.98195423e+07
14,14,15,40,39,1.79904054e+07,1.03858769e-01,3.60574454e+05,1.80012424e+07
15,15,16,41,40,1.61711109e+07,-4.24829132e-01,3.60574491e+05,1.61831664e+07
16,16,17,42,41,1.43518159e+07,1.70313516e+00,3.60574762e+05,1.43653973e+07
17,17,18,43,42,1.25325226e+07,-6.77472699e+00,3.60573122e+05,1.25480774e+07
18,18,19,44,43,1.07132284e+07,3.00268865e+01,3.60571220e+05,1.07314014e+07
19,19,20,45,44,8.89389010e+06,-1.60937832e+02,3.60667007e+05,8.91588215e+06
20,20,21,46,45,7.07495916e+06,9.63659654e+02,3.59793535e+05,7.10187189e+06
21,21,22,47,46,5.25382228e+06,-5.60926815e+03,3.64839210e+05,5.29447571e+06
