element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,7,6,-5.97218779e+06,-8.18723753e+05,-5.61299751e+06,1.12234124e+07
1,1,2,8,7,3.24537084e+06,1.38734097e+06,-2.79320550e+06,5.60006266e+06
2,2,3,9,8,5.99921156e+06,6.81357743e+05,4.30553363e-08,5.68921598e+06
3,3,4,10,9,3.24537084e+06,1.38734097e+06,2.79320550e+06,5.60006266e+06
4,4,5,11,10,-5.97218779e+06,-8.18723753e+05,5.61299751e+06,1.12234124e+07
5,6,7,13,12,6.23814130e+06,1.46618421e+06,-5.58700249e+06,1.12054286e+07
6,7,8,14,13,-2.97941734e+06,-2.99147887e+05,-2.80679450e+06,5.63111151e+06
7,8,9,15,14,-5.73325806e+06,2.79893562e+05,4.08660819e-08,5.87820469e+06
8,9,10,16,15,-2.97941734e+06,-2.99147887e+05,2.80679450e+06,5.63111151e+06
9,10,11,17,16,6.23814130e+06,1.46618421e+06,5.58700249e+06,1.12054286e+07
