element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,22,21,3.98761794e+07,4.82312302e+06,1.11033089e+06,3.77457677e+07
1,1,2,23,22,3.74534773e+07,-1.10684334e+06,7.21070278e+04,3.80191898e+07
2,2,3,24,23,3.56057792e+07,2.34402042e+05,5.17833550e+05,3.55004908e+07
3,3,4,25,24,3.35766267e+07,-4.74938674e+04,4.02851036e+05,3.36076430e+07
4,4,5,26,25,3.15919866e+07,9.59982457e+03,4.25694073e+05,3.15957921e+07
5,5,6,27,26,2.95979432e+07,-2.01961342e+03,4.22058694e+05,2.96079790e+07
6,6,7,28,27,2.76057538e+07,4.53707214e+02,4.22494411e+05,2.76152245e+07
7,7,8,29,28,2.56132102e+07,-1.08231366e+02,4.22467766e+05,2.56237146e+07
8,8,9,30,29,2.36207300e+07,2.66262035e+01,4.22464669e+05,2.36320478e+07
9,9,10,31,30,2.16282400e+07,-6.55799842e+00,4.22465391e+05,2.16406178e+07
10,10,11,32,31,1.96357512e+07,1.67023861e+00,4.22465696e+05,1.96493798e+07
11,11,12,33,32,1.76432623e+07,-7.66763457e-01,4.22465311e+05,1.76584300e+07
12,12,13,34,33,1.56507736e+07,1.59565354e+00,4.22465898e+05,1.56678691e+07
13,13,14,35,34,1.36582834e+07,-6.39497409e+00,4.22466116e+05,1.36778736e+07
14,14,15,36,35,1.16658028e+07,3.25211640e+01,4.22449330e+05,1.16887111e+07
15,15,16,37,36,9.67326907e+06,-1.87175205e+02,4.22595963e+05,9.70101578e+06
16,16,17,38,37,7.68098646e+06,1.08221342e+03,4.21722257e+05,7.71510147e+06
17,17,18,39,38,5.68770666e+06,-5.84325970e+03,4.25715074e+05,5.73820320e+06
18,18,19,40,39,3.69754127e+06,2.83941677e+04,4.12506418e+05,3.75208125e+06
19,19,20,41,40,1.70163492e+06,-1.20438990e+05,4.29803159e+05,1.91551622e+06
20,21,22,43,42,2.00130384e+07,2.50511646e+06,5.53676639e+05,1.89098386e+07
21,22,23,44,43,1.93730604e+07,-4.47450334e+05,1.01556771e+06,1.96793876e+07
22,23,24,45,44,1.80587678e+07,2.77463027e+04,7.92693407e+05,1.80970685e+07
23,24,25,46,45,1.71654421e+07,1.42391067e+04,8.65113923e+05,1.72236306e+07
24,25,26,47,46,1.61449305e+07,-7.37663636e+03,8.45627441e+05,1.62149064e+07
25,26,27,48,47,1.51532636e+07,2.30681441e+03,8.50286976e+05,1.52235150e+07
26,27,28,49,48,1.41563437e+07,-5.81599351e+02,8.49232668e+05,1.42328454e+07
27,28,29,50,49,1.31601613e+07,1.26719523e+02,8.49473849e+05,1.32420918e+07
28,29,30,51,50,1.21639205e+07,-2.43336759e+01,8.49415790e+05,1.22525825e+07
29,30,31,52,51,1.11676727e+07,4.15306400e+00,8.49430364e+05,1.12641672e+07
30,31,32,53,52,1.01714292e+07,-7.43945011e-01,8.49426718e+05,1.02772835e+07
31,32,33,54,53,9.17518443e+06,7.92271474e-01,8.49427406e+05,9.29239382e+06
32,33,34,55,54,8.17894016e+06,-3.71755744e+00,8.49428219e+05,8.31021525e+06
33,34,35,56,55,7.18269826e+06,1.62816425e+01,8.49423445e+05,7.33182091e+06
34,35,36,57,56,6.18642733e+06,-5.62302307e+01,8.49446690e+05,6.35900228e+06
35,36,37,58,57,5.19035121e+06,1.17437583e+02,8.49336911e+05,5.39474334e+06
36,37,38,59,58,4.19329407e+06,2.12044535e+02,8.49817260e+05,4.44402905e+06
37,38,39,60,59,3.20000369e+06,-3.97666910e+03,8.47983207e+05,3.52278177e+06
38,39,40,61,60,2.19767062e+06,2.57978310e+04,8.53415042e+05,2.63793068e+06
39,40,41,62,61,1.18514806e+06,-1.11253485e+05,8.46568676e+05,1.92323703e+06
40,42,43,64,63,6.98950505e+05,9.67256276e+04,3.19977371e+05,8.58741977e+05
