node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.40080000e-01,-5.08000000e-02,4.90124295e-05,3.98947291e-05,6.31965795e-05
2,-5.68960000e-01,-5.08000000e-02,9.64707690e-05,1.41040124e-04,1.70876932e-04
3,-4.97840000e-01,-5.08000000e-02,1.41529154e-04,3.07016116e-04,3.38067149e-04
4,-4.26720000e-01,-5.08000000e-02,1.83985898e-04,5.33059387e-04,5.63917655e-04
5,-3.55600000e-01,-5.08000000e-02,2.23928722e-04,8.15805641e-04,8.45980447e-04
6,-2.84480000e-01,-5.08000000e-02,2.61338681e-04,1.15168869e-03,1.18096771e-03
7,-2.13360000e-01,-5.08000000e-02,2.96218266e-04,1.53716938e-03,1.56545041e-03
8,-1.42240000e-01,-5.08000000e-02,3.28567478e-04,1.96870427e-03,1.99593414e-03
9,-7.11200000e-02,-5.08000000e-02,3.58386190e-04,2.44275097e-03,2.46890116e-03
10,-1.11022302e-16,-5.08000000e-02,3.85674452e-04,2.95576674e-03,2.98082234e-03
11,7.11200000e-02,-5.08000000e-02,4.10432250e-04,3.50420898e-03,3.52816315e-03
12,1.42240000e-01,-5.08000000e-02,4.32659589e-04,4.08453502e-03,4.10738611e-03
13,2.13360000e-01,-5.08000000e-02,4.52356465e-04,4.69320222e-03,4.71495211e-03
14,2.84480000e-01,-5.08000000e-02,4.69522881e-04,5.32666793e-03,5.34732111e-03
15,3.55600000e-01,-5.08000000e-02,4.84158856e-04,5.98138954e-03,6.00095247e-03
16,4.26720000e-01,-5.08000000e-02,4.96264206e-04,6.65382434e-03,6.67230519e-03
17,4.97840000e-01,-5.08000000e-02,5.05839934e-04,7.34042934e-03,7.35783779e-03
18,5.68960000e-01,-5.08000000e-02,5.12882323e-04,8.03766694e-03,8.05401379e-03
19,6.40080000e-01,-5.08000000e-02,5.17397275e-04,8.74195598e-03,8.75725381e-03
20,7.11200000e-01,-5.08000000e-02,5.19430264e-04,9.44997795e-03,9.46424276e-03
21,-7.11200000e-01,-3.04800000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,-6.40080000e-01,-3.04800000e-02,2.90757912e-05,3.57496054e-05,4.60807543e-05
23,-5.68960000e-01,-3.04800000e-02,5.83976492e-05,1.38019320e-04,1.49865333e-04
24,-4.97840000e-01,-3.04800000e-02,8.55473161e-05,3.03971497e-04,3.15780010e-04
25,-4.26720000e-01,-3.04800000e-02,1.11347229e-04,5.30228344e-04,5.41793597e-04
26,-3.55600000e-01,-3.04800000e-02,1.35593471e-04,8.13139837e-04,8.24367627e-04
27,-2.84480000e-01,-3.04800000e-02,1.58327763e-04,1.14919820e-03,1.16005353e-03
28,-2.13360000e-01,-3.04800000e-02,1.79542793e-04,1.53485200e-03,1.54531753e-03
29,-1.42240000e-01,-3.04800000e-02,1.99239690e-04,1.96656051e-03,1.97662760e-03
30,-7.11200000e-02,-3.04800000e-02,2.17418286e-04,2.44078070e-03,2.45044508e-03
31,-1.11022302e-16,-3.04800000e-02,2.34078612e-04,2.95396999e-03,2.96322991e-03
32,7.11200000e-02,-3.04800000e-02,2.49220659e-04,3.50258574e-03,3.51144099e-03
33,1.42240000e-01,-3.04800000e-02,2.62844430e-04,4.08308530e-03,4.09153672e-03
34,2.13360000e-01,-3.04800000e-02,2.74949924e-04,4.69192602e-03,4.69997524e-03
35,2.84480000e-01,-3.04800000e-02,2.85537144e-04,5.32556525e-03,5.33321448e-03
36,3.55600000e-01,-3.04800000e-02,2.94606060e-04,5.98046039e-03,5.98771235e-03
37,4.26720000e-01,-3.04800000e-02,3.02156908e-04,6.65306857e-03,6.65992644e-03
38,4.97840000e-01,-3.04800000e-02,3.08188284e-04,7.33984794e-03,7.34631525e-03
39,5.68960000e-01,-3.04800000e-02,3.12706878e-04,8.03725431e-03,8.04333529e-03
40,6.40080000e-01,-3.04800000e-02,3.15688020e-04,8.74174108e-03,8.74743939e-03
41,7.11200000e-01,-3.04800000e-02,3.17186173e-04,9.44982655e-03,9.45514827e-03
42,-7.11200000e-01,-1.01600000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
43,-6.40080000e-01,-1.01600000e-02,1.00635838e-05,3.37183049e-05,3.51880634e-05
44,-5.68960000e-01,-1.01600000e-02,2.03805502e-05,1.36416610e-04,1.37930629e-04
45,-4.97840000e-01,-1.01600000e-02,2.99093853e-05,3.02444995e-04,3.03920296e-04
46,-4.26720000e-01,-1.01600000e-02,3.89809702e-05,5.28773383e-04,5.30208268e-04
47,-3.55600000e-01,-1.01600000e-02,4.75457244e-05,8.11778529e-04,8.13169709e-04
48,-2.84480000e-01,-1.01600000e-02,5.56014572e-05,1.14792158e-03,1.14926737e-03
49,-2.13360000e-01,-1.01600000e-02,6.31524726e-05,1.53366265e-03,1.53496233e-03
50,-1.42240000e-01,-1.01600000e-02,7.01969459e-05,1.96545780e-03,1.96671096e-03
51,-7.11200000e-02,-1.01600000e-02,7.67354515e-05,2.43976477e-03,2.44097122e-03
52,-1.11022302e-16,-1.01600000e-02,8.27678340e-05,2.95304083e-03,2.95420051e-03
53,7.11200000e-02,-1.01600000e-02,8.82941316e-05,3.50174334e-03,3.50285630e-03
54,1.42240000e-01,-1.01600000e-02,9.33143347e-05,4.08232965e-03,4.08339601e-03
55,2.13360000e-01,-1.01600000e-02,9.78284489e-05,4.69125713e-03,4.69227704e-03
56,2.84480000e-01,-1.01600000e-02,1.01836462e-04,5.32498313e-03,5.32595681e-03
57,3.55600000e-01,-1.01600000e-02,1.05338400e-04,5.97996498e-03,5.98089269e-03
58,4.26720000e-01,-1.01600000e-02,1.08334275e-04,6.65266004e-03,6.65354206e-03
59,4.97840000e-01,-1.01600000e-02,1.10823543e-04,7.33952624e-03,7.34036288e-03
60,5.68960000e-01,-1.01600000e-02,1.12809781e-04,8.03701636e-03,8.03780803e-03
61,6.40080000e-01,-1.01600000e-02,1.14278579e-04,8.74161124e-03,8.74235819e-03
62,7.11200000e-01,-1.01600000e-02,1.15256467e-04,9.44968537e-03,9.45038823e-03
63,-7.11200000e-01,1.01600000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
64,-6.40080000e-01,1.01600000e-02,-8.70228030e-06,3.36527238e-05,3.47596822e-05
65,-5.68960000e-01,1.01600000e-02,-1.75539712e-05,1.36352206e-04,1.37477511e-04
66,-4.97840000e-01,1.01600000e-02,-2.56460615e-05,3.02384231e-04,3.03469840e-04
67,-4.26720000e-01,1.01600000e-02,-3.32824960e-05,5.28711771e-04,5.29758305e-04
68,-3.55600000e-01,1.01600000e-02,-4.04099729e-05,8.11716915e-04,8.12722164e-04
69,-2.84480000e-01,1.01600000e-02,-4.70289016e-05,1.14786002e-03,1.14882302e-03
70,-2.13360000e-01,1.01600000e-02,-5.31430816e-05,1.53360107e-03,1.53452156e-03
71,-1.42240000e-01,1.01600000e-02,-5.87507124e-05,1.96539623e-03,1.96627413e-03
72,-7.11200000e-02,1.01600000e-02,-6.38523769e-05,2.43970320e-03,2.44053863e-03
73,-1.11022302e-16,1.01600000e-02,-6.84479186e-05,2.95297925e-03,2.95377243e-03
74,7.11200000e-02,1.01600000e-02,-7.25373752e-05,3.50168176e-03,3.50243298e-03
75,1.42240000e-01,1.01600000e-02,-7.61207373e-05,4.08226807e-03,4.08297771e-03
76,2.13360000e-01,1.01600000e-02,-7.91980105e-05,4.69119555e-03,4.69186402e-03
77,2.84480000e-01,1.01600000e-02,-8.17691823e-05,5.32492155e-03,5.32554933e-03
78,3.55600000e-01,1.01600000e-02,-8.38342799e-05,5.97990340e-03,5.98049102e-03
79,4.26720000e-01,1.01600000e-02,-8.53933139e-05,6.65259846e-03,6.65314650e-03
80,4.97840000e-01,1.01600000e-02,-8.64457408e-05,7.33946466e-03,7.33997373e-03
81,5.68960000e-01,1.01600000e-02,-8.69951377e-05,8.03695478e-03,8.03742560e-03
82,6.40080000e-01,1.01600000e-02,-8.70270945e-05,8.74154966e-03,8.74198285e-03
83,7.11200000e-01,1.01600000e-02,-8.65681420e-05,9.44962380e-03,9.45002031e-03
