element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,7,6,1.00000000e+06,1.14580614e+05,8.70609438e+03,9.48037705e+05
1,1,2,8,7,1.00000000e+06,-2.73283551e+04,-5.06589858e+03,1.01397839e+06
2,2,3,9,8,1.00000000e+06,6.30634370e+03,1.92513927e+03,9.96867366e+05
3,3,4,10,9,1.00000000e+06,-1.38582684e+03,-6.16722242e+02,1.00069420e+06
4,4,5,11,10,1.00000000e+06,2.33468631e+02,1.37068467e+02,9.99883314e+05
5,6,7,13,12,1.00000000e+06,1.14580614e+05,-8.70609438e+03,9.48037705e+05
6,7,8,14,13,1.00000000e+06,-2.73283551e+04,5.06589858e+03,1.01397839e+06
7,8,9,15,14,1.00000000e+06,6.30634370e+03,-1.92513927e+03,9.96867366e+05
8,9,10,16,15,1.00000000e+06,-1.38582684e+03,6.16722242e+02,1.00069420e+06
9,10,11,17,16,1.00000000e+06,2.33468631e+02,-1.37068467e+02,9.99883314e+05
