node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.51933333e-01,-5.08000000e-02,4.31769052e-05,3.08474184e-05,5.30641910e-05
2,-5.92666667e-01,-5.08000000e-02,8.51631698e-05,1.05208016e-04,1.35356906e-04
3,-5.33400000e-01,-5.08000000e-02,1.25579525e-04,2.27957355e-04,2.60259049e-04
4,-4.74133333e-01,-5.08000000e-02,1.64057135e-04,3.95877539e-04,4.28525109e-04
5,-4.14866667e-01,-5.08000000e-02,2.00700750e-04,6.06940262e-04,6.39263070e-04
6,-3.55600000e-01,-5.08000000e-02,2.35495062e-04,8.58973480e-04,8.90670177e-04
7,-2.96333333e-01,-5.08000000e-02,2.68440708e-04,1.14982394e-03,1.18074362e-03
8,-2.37066667e-01,-5.08000000e-02,2.99538070e-04,1.47733414e-03,1.50739485e-03
9,-1.77800000e-01,-5.08000000e-02,3.28787002e-04,1.83934795e-03,1.86850254e-03
10,-1.18533333e-01,-5.08000000e-02,3.56187534e-04,2.23370879e-03,2.26192938e-03
11,-5.92666667e-02,-5.08000000e-02,3.81739662e-04,2.65826023e-03,2.68553023e-03
12,0.00000000e+00,-5.08000000e-02,4.05443387e-04,3.11084578e-03,3.13715569e-03
13,5.92666667e-02,-5.08000000e-02,4.27298709e-04,3.58930898e-03,3.61465394e-03
14,1.18533333e-01,-5.08000000e-02,4.47305627e-04,4.09149335e-03,4.11587174e-03
15,1.77800000e-01,-5.08000000e-02,4.65464143e-04,4.61524243e-03,4.63865493e-03
16,2.37066667e-01,-5.08000000e-02,4.81774255e-04,5.15839975e-03,5.18084881e-03
17,2.96333333e-01,-5.08000000e-02,4.96235962e-04,5.71880882e-03,5.74029829e-03
18,3.55600000e-01,-5.08000000e-02,5.08849271e-04,6.29431320e-03,6.31484807e-03
19,4.14866667e-01,-5.08000000e-02,5.19614174e-04,6.88275640e-03,6.90234269e-03
20,4.74133333e-01,-5.08000000e-02,5.28530568e-04,7.48198188e-03,7.50062647e-03
21,5.33400000e-01,-5.08000000e-02,5.35599475e-04,8.08983333e-03,8.10754402e-03
22,5.92666667e-01,-5.08000000e-02,5.40815563e-04,8.70415700e-03,8.72094207e-03
23,6.51933333e-01,-5.08000000e-02,5.44193092e-04,9.32276248e-03,9.33863193e-03
24,7.11200000e-01,-5.08000000e-02,5.45767722e-04,9.94372663e-03,9.95869277e-03
25,-7.11200000e-01,-3.38666667e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,-6.51933333e-01,-3.38666667e-02,2.83134653e-05,2.70626455e-05,3.91668112e-05
27,-5.92666667e-01,-3.38666667e-02,5.71184289e-05,1.02394872e-04,1.17248559e-04
28,-5.33400000e-01,-3.38666667e-02,8.40891466e-05,2.25104260e-04,2.40297550e-04
29,-4.74133333e-01,-3.38666667e-02,1.09974239e-04,3.93191821e-04,4.08281939e-04
30,-4.14866667e-01,-3.38666667e-02,1.34597691e-04,6.04379026e-04,6.19185388e-04
31,-3.55600000e-01,-3.38666667e-02,1.57994140e-04,8.56545963e-04,8.70995485e-04
32,-2.96333333e-01,-3.38666667e-02,1.80157370e-04,1.14752806e-03,1.16158397e-03
33,-2.37066667e-01,-3.38666667e-02,2.01088528e-04,1.47517038e-03,1.48881303e-03
34,-1.77800000e-01,-3.38666667e-02,2.20787370e-04,1.83731619e-03,1.85053448e-03
35,-1.18533333e-01,-3.38666667e-02,2.39253954e-04,2.23180907e-03,2.24459667e-03
36,-5.92666667e-02,-3.38666667e-02,2.56488267e-04,2.65649254e-03,2.66884597e-03
37,0.00000000e+00,-3.38666667e-02,2.72490312e-04,3.10921012e-03,3.12112777e-03
38,5.92666667e-02,-3.38666667e-02,2.87260088e-04,3.58780535e-03,3.59928681e-03
39,1.18533333e-01,-3.38666667e-02,3.00797595e-04,4.09012175e-03,4.10116753e-03
40,1.77800000e-01,-3.38666667e-02,3.13102833e-04,4.61400286e-03,4.62461412e-03
41,2.37066667e-01,-3.38666667e-02,3.24175802e-04,5.15729220e-03,5.16747064e-03
42,2.96333333e-01,-3.38666667e-02,3.34016502e-04,5.71783331e-03,5.72758106e-03
43,3.55600000e-01,-3.38666667e-02,3.42624935e-04,6.29346970e-03,6.30278928e-03
44,4.14866667e-01,-3.38666667e-02,3.50001083e-04,6.88204496e-03,6.89093924e-03
45,4.74133333e-01,-3.38666667e-02,3.56145092e-04,7.48140236e-03,7.48987454e-03
46,5.33400000e-01,-3.38666667e-02,3.61055959e-04,8.08938644e-03,8.09743999e-03
47,5.92666667e-01,-3.38666667e-02,3.64739193e-04,8.70383863e-03,8.71147758e-03
48,6.51933333e-01,-3.38666667e-02,3.67172086e-04,9.32259558e-03,9.32982335e-03
49,7.11200000e-01,-3.38666667e-02,3.68409198e-04,9.94359743e-03,9.95041985e-03
50,-7.11200000e-01,-1.69333333e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
51,-6.51933333e-01,-1.69333333e-02,1.42867255e-05,2.48736886e-05,2.86846808e-05
52,-5.92666667e-01,-1.69333333e-02,2.90884364e-05,1.00606410e-04,1.04727202e-04
53,-5.33400000e-01,-1.69333333e-02,4.28850428e-05,2.23403203e-04,2.27482127e-04
54,-4.74133333e-01,-1.69333333e-02,5.61108808e-05,3.91550778e-04,3.95550809e-04
55,-4.14866667e-01,-1.69333333e-02,6.87283816e-05,6.02823982e-04,6.06729218e-04
56,-3.55600000e-01,-1.69333333e-02,8.07241021e-05,8.55068433e-04,8.58870424e-04
57,-2.96333333e-01,-1.69333333e-02,9.21054972e-05,1.14613011e-03,1.14982505e-03
58,-2.37066667e-01,-1.69333333e-02,1.02870328e-04,1.47385158e-03,1.47743723e-03
59,-1.77800000e-01,-1.69333333e-02,1.13019107e-04,1.83607662e-03,1.83955176e-03
60,-1.18533333e-01,-1.69333333e-02,1.22551739e-04,2.23064871e-03,2.23401267e-03
61,-5.92666667e-02,-1.69333333e-02,1.31468237e-04,2.65541140e-03,2.65866387e-03
62,0.00000000e+00,-1.69333333e-02,1.39768602e-04,3.10820819e-03,3.11134914e-03
63,5.92666667e-02,-1.69333333e-02,1.47452831e-04,3.58688264e-03,3.58991217e-03
64,1.18533333e-01,-1.69333333e-02,1.54520927e-04,4.08927826e-03,4.09219665e-03
65,1.77800000e-01,-1.69333333e-02,1.60972888e-04,4.61323859e-03,4.61604620e-03
66,2.37066667e-01,-1.69333333e-02,1.66808714e-04,5.15660715e-03,5.15930445e-03
67,2.96333333e-01,-1.69333333e-02,1.72028408e-04,5.71722747e-03,5.71981501e-03
68,3.55600000e-01,-1.69333333e-02,1.76631955e-04,6.29294309e-03,6.29542148e-03
69,4.14866667e-01,-1.69333333e-02,1.80619415e-04,6.88159752e-03,6.88396745e-03
70,4.74133333e-01,-1.69333333e-02,1.83990655e-04,7.48103431e-03,7.48329653e-03
71,5.33400000e-01,-1.69333333e-02,1.86745401e-04,8.08909736e-03,8.09125268e-03
