element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
0,0,1,7,6,7.53762925e+06,9.59841498e+05,7.13262920e+05,7.21307515e+06
1,1,2,8,7,5.79688967e+06,-2.47945774e+05,7.03524650e+05,6.04876534e+06
2,2,3,9,8,4.39633140e+06,6.08205814e+04,7.08468060e+05,4.53539662e+06
3,3,4,10,9,2.91190941e+06,-2.90544082e+03,7.06670693e+05,3.16003728e+06
4,4,5,11,10,1.43035251e+06,-4.83198817e+04,7.07203703e+05,1.90204332e+06
5,6,7,13,12,-6.12341569e+06,-7.97800039e+05,7.00950643e+05,5.89249003e+06
6,7,8,14,13,-4.38267611e+06,2.09297644e+05,7.10688912e+05,4.65662704e+06
7,8,9,15,14,-2.98211784e+06,-5.19020646e+04,7.05745502e+05,3.19924565e+06
8,9,10,16,15,-1.49769585e+06,9.45585711e+02,7.07542870e+05,1.93555178e+06
9,10,11,17,16,-1.61389467e+04,4.86500562e+04,7.07009859e+05,1.22596953e+06
