element,n1,n2,n3,n4,sigma_x_pa,sigma_y_pa,tau_xy_pa,sigma_vm_pa
767,782,783,834,833,1.00000000e+06,9.05741842e-04,-9.58266029e-04,1.00000000e+06
768,783,784,835,834,1.00000000e+06,1.62264783e-04,-4.14445696e-05,1.00000000e+06
769,784,785,836,835,1.00000000e+06,-2.08780895e-05,8.64798812e-05,1.00000000e+06
770,785,786,837,836,1.00000000e+06,-2.82450614e-05,4.72605519e-05,1.00000000e+06
771,786,787,838,837,1.00000000e+06,-1.17201705e-05,1.37915957e-05,1.00000000e+06
772,787,788,839,838,1.00000000e+06,-2.63633648e-06,1.50930846e-06,1.00000000e+06
773,788,789,840,839,1.00000000e+06,-1.38281957e-08,-8.58723631e-07,1.00000000e+06
774,789,790,841,840,1.00000000e+06,2.82344393e-07,-6.05020974e-07,1.00000000e+06
775,790,791,842,841,1.00000000e+06,1.55787079e-07,-2.00100131e-07,1.00000000e+06
776,791,792,843,842,1.00000000e+06,3.44185674e-08,-5.86993832e-08,1.00000000e+06
777,792,793,844,843,1.00000000e+06,2.09005240e-08,-4.43324013e-08,1.00000000e+06
778,793,794,845,844,1.00000000e+06,-2.48580778e-08,-2.34546681e-08,1.00000000e+06
779,794,795,846,845,1.00000000e+06,-2.68927114e-09,-1.72403783e-08,1.00000000e+06
780,795,796,847,846,1.00000000e+06,-6.51895949e-09,-5.14588805e-08,1.00000000e+06
781,796,797,848,847,1.00000000e+06,1.20659162e-08,-5.39674011e-08,1.00000000e+06
782,797,798,849,848,1.00000000e+06,2.46070861e-10,-3.04671235e-08,1.00000000e+06
783,798,799,850,849,1.00000000e+06,5.66861991e-09,-1.60203251e-08,1.00000000e+06
784,799,800,851,850,1.00000000e+06,-4.96859902e-09,2.65675142e-09,1.00000000e+06
785,800,801,852,851,1.00000000e+06,1.75762123e-09,-3.22002833e-08,1.00000000e+06
786,801,802,853,852,1.00000000e+06,4.77052693e-10,-4.55182475e-08,1.00000000e+06
