node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.40080000e-01,-5.08000000e-02,1.00654695e-06,2.44328712e-07,1.03577666e-06
2,-5.68960000e-01,-5.08000000e-02,1.99195958e-06,2.19065762e-07,2.00396925e-06
3,-4.97840000e-01,-5.08000000e-02,3.01373519e-06,2.16943600e-07,3.02153344e-06
4,-4.26720000e-01,-5.08000000e-02,4.02992652e-06,2.17686746e-07,4.03580169e-06
5,-3.55600000e-01,-5.08000000e-02,5.04567485e-06,2.17770874e-07,5.05037215e-06
6,-2.84480000e-01,-5.08000000e-02,6.06170515e-06,2.17701962e-07,6.06561319e-06
7,-2.13360000e-01,-5.08000000e-02,7.07771170e-06,2.17714706e-07,7.08105943e-06
8,-1.42240000e-01,-5.08000000e-02,8.09370904e-06,2.17714613e-07,8.09663669e-06
9,-7.11200000e-02,-5.08000000e-02,9.10970925e-06,2.17714237e-07,9.11231047e-06
10,-1.11022302e-16,-5.08000000e-02,1.01257093e-05,2.17714273e-07,1.01280496e-05
11,7.11200000e-02,-5.08000000e-02,1.11417093e-05,2.17714293e-07,1.11438362e-05
12,1.42240000e-01,-5.08000000e-02,1.21577093e-05,2.17714284e-07,1.21596585e-05
13,2.13360000e-01,-5.08000000e-02,1.31737093e-05,2.17714286e-07,1.31755082e-05
14,2.84480000e-01,-5.08000000e-02,1.41897093e-05,2.17714286e-07,1.41913794e-05
15,3.55600000e-01,-5.08000000e-02,1.52057093e-05,2.17714286e-07,1.52072678e-05
16,4.26720000e-01,-5.08000000e-02,1.62217093e-05,2.17714286e-07,1.62231702e-05
17,4.97840000e-01,-5.08000000e-02,1.72377093e-05,2.17714286e-07,1.72390841e-05
18,5.68960000e-01,-5.08000000e-02,1.82537093e-05,2.17714286e-07,1.82550076e-05
19,6.40080000e-01,-5.08000000e-02,1.92697093e-05,2.17714286e-07,1.92709392e-05
20,7.11200000e-01,-5.08000000e-02,2.02857093e-05,2.17714286e-07,2.02868776e-05
21,-7.11200000e-01,-3.04800000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
22,-6.40080000e-01,-3.04800000e-02,9.73812173e-07,1.41639782e-07,9.84058929e-07
23,-5.68960000e-01,-3.04800000e-02,1.99968176e-06,1.35091313e-07,2.00423970e-06
24,-4.97840000e-01,-3.04800000e-02,3.01316680e-06,1.29097395e-07,3.01593108e-06
25,-4.26720000e-01,-3.04800000e-02,4.02984755e-06,1.30787282e-07,4.03196932e-06
26,-3.55600000e-01,-3.04800000e-02,5.04568012e-06,1.30646327e-07,5.04737123e-06
27,-2.84480000e-01,-3.04800000e-02,6.06171422e-06,1.30623105e-07,6.06312145e-06
28,-2.13360000e-01,-3.04800000e-02,7.07770865e-06,1.30627771e-07,7.07891399e-06
