node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.82752000e-01,-5.08000000e-02,4.35358868e-07,1.87427107e-07,4.73989730e-07
2,-6.54304000e-01,-5.08000000e-02,8.05469953e-07,2.18426420e-07,8.34560930e-07
3,-6.25856000e-01,-5.08000000e-02,1.20027428e-06,2.21706477e-07,1.22057860e-06
4,-5.97408000e-01,-5.08000000e-02,1.60322005e-06,2.19616056e-07,1.61819212e-06
5,-5.68960000e-01,-5.08000000e-02,2.00936724e-06,2.18223719e-07,2.02118240e-06
6,-5.40512000e-01,-5.08000000e-02,2.41601182e-06,2.17751114e-07,2.42580475e-06
7,-5.12064000e-01,-5.08000000e-02,2.82256396e-06,2.17676477e-07,2.83094513e-06
8,-4.83616000e-01,-5.08000000e-02,3.22901170e-06,2.17691289e-07,3.23634146e-06
9,-4.55168000e-01,-5.08000000e-02,3.63541833e-06,2.17707174e-07,3.64193120e-06
10,-4.26720000e-01,-5.08000000e-02,4.04181634e-06,2.17713304e-07,4.04767568e-06
11,-3.98272000e-01,-5.08000000e-02,4.44821461e-06,2.17714597e-07,4.45353936e-06
12,-3.69824000e-01,-5.08000000e-02,4.85461397e-06,2.17714548e-07,4.85949343e-06
13,-3.41376000e-01,-5.08000000e-02,5.26101385e-06,2.17714381e-07,5.26551672e-06
14,-3.12928000e-01,-5.08000000e-02,5.66741386e-06,2.17714304e-07,5.67159408e-06
15,-2.84480000e-01,-5.08000000e-02,6.07381388e-06,2.17714284e-07,6.07771458e-06
16,-2.56032000e-01,-5.08000000e-02,6.48021389e-06,2.17714283e-07,6.48387011e-06
17,-2.27584000e-01,-5.08000000e-02,6.88661389e-06,2.17714284e-07,6.89005445e-06
18,-1.99136000e-01,-5.08000000e-02,7.29301389e-06,2.17714285e-07,7.29626282e-06
19,-1.70688000e-01,-5.08000000e-02,7.69941389e-06,2.17714286e-07,7.70249140e-06
20,-1.42240000e-01,-5.08000000e-02,8.10581389e-06,2.17714286e-07,8.10873716e-06
21,-1.13792000e-01,-5.08000000e-02,8.51221389e-06,2.17714286e-07,8.51499764e-06
22,-8.53440000e-02,-5.08000000e-02,8.91861389e-06,2.17714286e-07,8.92127083e-06
23,-5.68960000e-02,-5.08000000e-02,9.32501389e-06,2.17714286e-07,9.32755507e-06
24,-2.84480000e-02,-5.08000000e-02,9.73141389e-06,2.17714286e-07,9.73384897e-06
25,0.00000000e+00,-5.08000000e-02,1.01378139e-05,2.17714286e-07,1.01401514e-05
26,2.84480000e-02,-5.08000000e-02,1.05442139e-05,2.17714285e-07,1.05464613e-05
27,5.68960000e-02,-5.08000000e-02,1.09506139e-05,2.17714285e-07,1.09527779e-05
28,8.53440000e-02,-5.08000000e-02,1.13570139e-05,2.17714285e-07,1.13591005e-05
29,1.13792000e-01,-5.08000000e-02,1.17634139e-05,2.17714285e-07,1.17654284e-05
30,1.42240000e-01,-5.08000000e-02,1.21698139e-05,2.17714285e-07,1.21717612e-05
31,1.70688000e-01,-5.08000000e-02,1.25762139e-05,2.17714285e-07,1.25780982e-05
32,1.99136000e-01,-5.08000000e-02,1.29826139e-05,2.17714285e-07,1.29844393e-05
33,2.27584000e-01,-5.08000000e-02,1.33890139e-05,2.17714285e-07,1.33907839e-05
34,2.56032000e-01,-5.08000000e-02,1.37954139e-05,2.17714285e-07,1.37971317e-05
35,2.84480000e-01,-5.08000000e-02,1.42018139e-05,2.17714285e-07,1.42034826e-05
36,3.12928000e-01,-5.08000000e-02,1.46082139e-05,2.17714285e-07,1.46098362e-05
37,3.41376000e-01,-5.08000000e-02,1.50146139e-05,2.17714285e-07,1.50161923e-05
38,3.69824000e-01,-5.08000000e-02,1.54210139e-05,2.17714285e-07,1.54225507e-05
39,3.98272000e-01,-5.08000000e-02,1.58274139e-05,2.17714285e-07,1.58289112e-05
40,4.26720000e-01,-5.08000000e-02,1.62338139e-05,2.17714285e-07,1.62352737e-05
41,4.55168000e-01,-5.08000000e-02,1.66402139e-05,2.17714285e-07,1.66416381e-05
42,4.83616000e-01,-5.08000000e-02,1.70466139e-05,2.17714285e-07,1.70480041e-05
43,5.12064000e-01,-5.08000000e-02,1.74530139e-05,2.17714285e-07,1.74543718e-05
44,5.40512000e-01,-5.08000000e-02,1.78594139e-05,2.17714285e-07,1.78607409e-05
45,5.68960000e-01,-5.08000000e-02,1.82658139e-05,2.17714285e-07,1.82671113e-05
46,5.97408000e-01,-5.08000000e-02,1.86722139e-05,2.17714285e-07,1.86734831e-05
47,6.25856000e-01,-5.08000000e-02,1.90786139e-05,2.17714285e-07,1.90798561e-05
48,6.54304000e-01,-5.08000000e-02,1.94850139e-05,2.17714285e-07,1.94862302e-05
49,6.82752000e-01,-5.08000000e-02,1.98914139e-05,2.17714285e-07,1.98926053e-05
50,7.11200000e-01,-5.08000000e-02,2.02978139e-05,2.17714285e-07,2.02989815e-05
51,-7.11200000e-01,-4.57200000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
52,-6.82752000e-01,-4.57200000e-02,4.12019496e-07,1.61163198e-07,4.42417949e-07
53,-6.54304000e-01,-4.57200000e-02,8.05109246e-07,1.98962847e-07,8.29329315e-07
54,-6.25856000e-01,-4.57200000e-02,1.19980960e-06,1.99938909e-07,1.21635465e-06
55,-5.97408000e-01,-4.57200000e-02,1.60357933e-06,1.97967482e-07,1.61575301e-06
56,-5.68960000e-01,-4.57200000e-02,2.00949509e-06,1.96429203e-07,2.01907279e-06
57,-5.40512000e-01,-4.57200000e-02,2.41605537e-06,1.95972871e-07,2.42399029e-06
58,-5.12064000e-01,-4.57200000e-02,2.82256729e-06,1.95900152e-07,2.82935735e-06
59,-4.83616000e-01,-4.57200000e-02,3.22900924e-06,1.95919129e-07,3.23494744e-06
60,-4.55168000e-01,-4.57200000e-02,3.63541661e-06,1.95935714e-07,3.64069289e-06
61,-4.26720000e-01,-4.57200000e-02,4.04181579e-06,1.95941991e-07,4.04656251e-06
62,-3.98272000e-01,-4.57200000e-02,4.44821452e-06,1.95943217e-07,4.45252806e-06
63,-3.69824000e-01,-4.57200000e-02,4.85461399e-06,1.95943133e-07,4.85856673e-06
64,-3.41376000e-01,-4.57200000e-02,5.26101387e-06,1.95942953e-07,5.26466149e-06
65,-3.12928000e-01,-4.57200000e-02,5.66741387e-06,1.95942874e-07,5.67080008e-06
66,-2.84480000e-01,-4.57200000e-02,6.07381388e-06,1.95942855e-07,6.07697364e-06
67,-2.56032000e-01,-4.57200000e-02,6.48021389e-06,1.95942854e-07,6.48317558e-06
68,-2.27584000e-01,-4.57200000e-02,6.88661389e-06,1.95942856e-07,6.88940088e-06
69,-1.99136000e-01,-4.57200000e-02,7.29301389e-06,1.95942857e-07,7.29564563e-06
70,-1.70688000e-01,-4.57200000e-02,7.69941389e-06,1.95942857e-07,7.70190677e-06
71,-1.42240000e-01,-4.57200000e-02,8.10581389e-06,1.95942857e-07,8.10818182e-06
72,-1.13792000e-01,-4.57200000e-02,8.51221389e-06,1.95942857e-07,8.51446880e-06
73,-8.53440000e-02,-4.57200000e-02,8.91861389e-06,1.95942857e-07,8.92076607e-06
74,-5.68960000e-02,-4.57200000e-02,9.32501389e-06,1.95942857e-07,9.32707230e-06
75,-2.84480000e-02,-4.57200000e-02,9.73141389e-06,1.95942857e-07,9.73338635e-06
76,0.00000000e+00,-4.57200000e-02,1.01378139e-05,1.95942857e-07,1.01397073e-05
77,2.84480000e-02,-4.57200000e-02,1.05442139e-05,1.95942857e-07,1.05460343e-05
78,5.68960000e-02,-4.57200000e-02,1.09506139e-05,1.95942857e-07,1.09523668e-05
79,8.53440000e-02,-4.57200000e-02,1.13570139e-05,1.95942857e-07,1.13587041e-05
80,1.13792000e-01,-4.57200000e-02,1.17634139e-05,1.95942857e-07,1.17650457e-05
81,1.42240000e-01,-4.57200000e-02,1.21698139e-05,1.95942857e-07,1.21713912e-05
