node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.82752000e-01,-5.08000000e-02,2.35153586e-05,1.18778183e-05,2.63449172e-05
2,-6.54304000e-01,-5.08000000e-02,4.58641637e-05,3.13497737e-05,5.55547462e-05
3,-6.25856000e-01,-5.08000000e-02,6.84265786e-05,6.36121897e-05,9.34275513e-05
4,-5.97408000e-01,-5.08000000e-02,9.04990383e-05,1.08208156e-04,1.41064102e-04
5,-5.68960000e-01,-5.08000000e-02,1.12107293e-04,1.64887181e-04,1.99388634e-04
6,-5.40512000e-01,-5.08000000e-02,1.33244474e-04,2.33372955e-04,2.68732257e-04
7,-5.12064000e-01,-5.08000000e-02,1.53913137e-04,3.13403601e-04,3.49157659e-04
8,-4.83616000e-01,-5.08000000e-02,1.74113256e-04,4.04716527e-04,4.40580178e-04
9,-4.55168000e-01,-5.08000000e-02,1.93844816e-04,5.07049412e-04,5.42839681e-04
10,-4.26720000e-01,-5.08000000e-02,2.13107835e-04,6.20139843e-04,6.55734987e-04
11,-3.98272000e-01,-5.08000000e-02,2.31902318e-04,7.43725446e-04,7.79041863e-04
12,-3.69824000e-01,-5.08000000e-02,2.50228268e-04,8.77543843e-04,9.12522538e-04
13,-3.41376000e-01,-5.08000000e-02,2.68085684e-04,1.02133266e-03,1.05593103e-03
14,-3.12928000e-01,-5.08000000e-02,2.85474565e-04,1.17482951e-03,1.20901617e-03
15,-2.84480000e-01,-5.08000000e-02,3.02394912e-04,1.33777202e-03,1.37152348e-03
16,-2.56032000e-01,-5.08000000e-02,3.18846723e-04,1.50989780e-03,1.54319623e-03
17,-2.27584000e-01,-5.08000000e-02,3.34830001e-04,1.69094449e-03,1.72377620e-03
18,-1.99136000e-01,-5.08000000e-02,3.50344744e-04,1.88064969e-03,1.91300411e-03
19,-1.70688000e-01,-5.08000000e-02,3.65390952e-04,2.07875104e-03,2.11061992e-03
20,-1.42240000e-01,-5.08000000e-02,3.79968625e-04,2.28498614e-03,2.31636306e-03
