node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-4.26720000e-01,-5.08000000e-02,5.61558468e-05,1.57962798e-04,1.67647620e-04
2,-1.42240000e-01,-5.08000000e-02,1.00972337e-04,5.81264516e-04,5.89969363e-04
3,1.42240000e-01,-5.08000000e-02,1.33692711e-04,1.20593082e-03,1.21331895e-03
4,4.26720000e-01,-5.08000000e-02,1.54491662e-04,1.96424505e-03,1.97031122e-03
5,7.11200000e-01,-5.08000000e-02,1.63362413e-04,2.78964275e-03,2.79442193e-03
6,-7.11200000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,-4.26720000e-01,0.00000000e+00,2.76952628e-06,1.56073840e-04,1.56098410e-04
8,-1.42240000e-01,0.00000000e+00,5.67474666e-06,5.80269466e-04,5.80297214e-04
9,1.42240000e-01,0.00000000e+00,8.53944883e-06,1.20509985e-03,1.20513011e-03
10,4.26720000e-01,0.00000000e+00,1.14155823e-05,1.96380387e-03,1.96383705e-03
11,7.11200000e-01,0.00000000e+00,1.42885601e-05,2.78939098e-03,2.78942758e-03
12,-7.11200000e-01,5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,-4.26720000e-01,5.08000000e-02,-5.05952934e-05,1.57582200e-04,1.65505388e-04
14,-1.42240000e-01,5.08000000e-02,-8.96332566e-05,5.80973229e-04,5.87846930e-04
15,1.42240000e-01,5.08000000e-02,-1.16610055e-04,1.20561926e-03,1.21124552e-03
16,4.26720000e-01,5.08000000e-02,-1.31661766e-04,1.96393797e-03,1.96834631e-03
17,7.11200000e-01,5.08000000e-02,-1.34784549e-04,2.78933451e-03,2.79258911e-03
