node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-6.51933333e-01,-5.08000000e-02,-6.42970432e-05,-5.85357853e-05,8.69514113e-05
2,-5.92666667e-01,-5.08000000e-02,-1.11318784e-04,-1.71838534e-04,2.04744606e-04
3,-5.33400000e-01,-5.08000000e-02,-1.43770285e-04,-3.31856800e-04,3.61661209e-04
4,-4.74133333e-01,-5.08000000e-02,-1.62343619e-04,-5.20274322e-04,5.45014514e-04
5,-4.14866667e-01,-5.08000000e-02,-1.68735772e-04,-7.22119491e-04,7.41571521e-04
6,-3.55600000e-01,-5.08000000e-02,-1.64454250e-04,-9.24029479e-04,9.38549774e-04
7,-2.96333333e-01,-5.08000000e-02,-1.51022893e-04,-1.11444672e-03,1.12463301e-03
8,-2.37066667e-01,-5.08000000e-02,-1.29967474e-04,-1.28358472e-03,1.29014778e-03
9,-1.77800000e-01,-5.08000000e-02,-1.02812595e-04,-1.42343859e-03,1.42714675e-03
10,-1.18533333e-01,-5.08000000e-02,-7.10831546e-05,-1.52778168e-03,1.52943443e-03
11,-5.92666667e-02,-5.08000000e-02,-3.63040048e-05,-1.59216654e-03,1.59258038e-03
12,0.00000000e+00,-5.08000000e-02,3.25111021e-17,-1.61392466e-03,1.61392466e-03
13,5.92666667e-02,-5.08000000e-02,3.63040048e-05,-1.59216654e-03,1.59258038e-03
14,1.18533333e-01,-5.08000000e-02,7.10831546e-05,-1.52778168e-03,1.52943443e-03
15,1.77800000e-01,-5.08000000e-02,1.02812595e-04,-1.42343859e-03,1.42714675e-03
16,2.37066667e-01,-5.08000000e-02,1.29967474e-04,-1.28358472e-03,1.29014778e-03
17,2.96333333e-01,-5.08000000e-02,1.51022893e-04,-1.11444672e-03,1.12463301e-03
18,3.55600000e-01,-5.08000000e-02,1.64454250e-04,-9.24029479e-04,9.38549774e-04
19,4.14866667e-01,-5.08000000e-02,1.68735772e-04,-7.22119491e-04,7.41571521e-04
20,4.74133333e-01,-5.08000000e-02,1.62343619e-04,-5.20274322e-04,5.45014514e-04
21,5.33400000e-01,-5.08000000e-02,1.43770285e-04,-3.31856800e-04,3.61661209e-04
22,5.92666667e-01,-5.08000000e-02,1.11318784e-04,-1.71838534e-04,2.04744606e-04
23,6.51933333e-01,-5.08000000e-02,6.42970432e-05,-5.85357853e-05,8.69514113e-05
24,7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
25,-7.11200000e-01,-3.38666667e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
26,-6.51933333e-01,-3.38666667e-02,-4.00926519e-05,-5.32039281e-05,6.66189065e-05
27,-5.92666667e-01,-3.38666667e-02,-7.28600412e-05,-1.69015509e-04,1.84051156e-04
28,-5.33400000e-01,-3.38666667e-02,-9.43592041e-05,-3.29791685e-04,3.43025094e-04
29,-4.74133333e-01,-3.38666667e-02,-1.06952494e-04,-5.19192550e-04,5.30094086e-04
30,-4.14866667e-01,-3.38666667e-02,-1.11367319e-04,-7.21842067e-04,7.30382537e-04
31,-3.55600000e-01,-3.38666667e-02,-1.08674195e-04,-9.24462873e-04,9.30828494e-04
32,-2.96333333e-01,-3.38666667e-02,-9.98801598e-05,-1.11547850e-03,1.11994122e-03
33,-2.37066667e-01,-3.38666667e-02,-8.60036009e-05,-1.28510679e-03,1.28798140e-03
34,-1.77800000e-01,-3.38666667e-02,-6.80606836e-05,-1.42534184e-03,1.42696588e-03
35,-1.18533333e-01,-3.38666667e-02,-4.70680745e-05,-1.52995724e-03,1.53068107e-03
36,-5.92666667e-02,-3.38666667e-02,-2.40423220e-05,-1.59450547e-03,1.59468672e-03
37,0.00000000e+00,-3.38666667e-02,2.09647739e-17,-1.61631805e-03,1.61631805e-03
38,5.92666667e-02,-3.38666667e-02,2.40423220e-05,-1.59450547e-03,1.59468672e-03
39,1.18533333e-01,-3.38666667e-02,4.70680745e-05,-1.52995724e-03,1.53068107e-03
40,1.77800000e-01,-3.38666667e-02,6.80606836e-05,-1.42534184e-03,1.42696588e-03
41,2.37066667e-01,-3.38666667e-02,8.60036009e-05,-1.28510679e-03,1.28798140e-03
42,2.96333333e-01,-3.38666667e-02,9.98801598e-05,-1.11547850e-03,1.11994122e-03
43,3.55600000e-01,-3.38666667e-02,1.08674195e-04,-9.24462873e-04,9.30828494e-04
44,4.14866667e-01,-3.38666667e-02,1.11367319e-04,-7.21842067e-04,7.30382537e-04
45,4.74133333e-01,-3.38666667e-02,1.06952494e-04,-5.19192550e-04,5.30094086e-04
46,5.33400000e-01,-3.38666667e-02,9.43592041e-05,-3.29791685e-04,3.43025094e-04
47,5.92666667e-01,-3.38666667e-02,7.28600412e-05,-1.69015509e-04,1.84051156e-04
48,6.51933333e-01,-3.38666667e-02,4.00926519e-05,-5.32039281e-05,6.66189065e-05
49,7.11200000e-01,-3.38666667e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
50,-7.11200000e-01,-1.69333333e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
51,-6.51933333e-01,-1.69333333e-02,-1.93359586e-05,-5.02464160e-05,5.38384771e-05
