node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-4.26720000e-01,-5.08000000e-02,-4.67035505e-05,-1.91227545e-04,1.96848154e-04
2,-1.42240000e-01,-5.08000000e-02,-2.35652015e-05,-4.16866968e-04,4.17532499e-04
3,1.42240000e-01,-5.08000000e-02,2.35652015e-05,-4.16866968e-04,4.17532499e-04
4,4.26720000e-01,-5.08000000e-02,4.67035505e-05,-1.91227545e-04,1.96848154e-04
5,7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,-7.11200000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,-4.26720000e-01,0.00000000e+00,1.57984159e-07,-1.89815403e-04,1.89815469e-04
8,-1.42240000e-01,0.00000000e+00,1.51170524e-08,-4.17678611e-04,4.17678611e-04
9,1.42240000e-01,0.00000000e+00,-1.51170524e-08,-4.17678611e-04,4.17678611e-04
10,4.26720000e-01,0.00000000e+00,-1.57984159e-07,-1.89815403e-04,1.89815469e-04
11,7.11200000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
12,-7.11200000e-01,5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,-4.26720000e-01,5.08000000e-02,4.69704847e-05,-1.90403606e-04,1.96111600e-04
14,-1.42240000e-01,5.08000000e-02,2.36260899e-05,-4.16227276e-04,4.16897275e-04
15,1.42240000e-01,5.08000000e-02,-2.36260899e-05,-4.16227276e-04,4.16897275e-04
16,4.26720000e-01,5.08000000e-02,-4.69704847e-05,-1.90403606e-04,1.96111600e-04
17,7.11200000e-01,5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
