node,x_m,y_m,ux_m,uy_m,u_mag_m
0,-7.11200000e-01,-5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
1,-4.26720000e-01,-5.08000000e-02,3.93190500e-06,2.69122994e-07,3.94110443e-06
2,-1.42240000e-01,-5.08000000e-02,8.01794040e-06,2.05970733e-07,8.02058552e-06
3,1.42240000e-01,-5.08000000e-02,1.20792624e-05,2.20304631e-07,1.20812712e-05
4,4.26720000e-01,-5.08000000e-02,1.61431746e-05,2.17135369e-07,1.61446349e-05
5,7.11200000e-01,-5.08000000e-02,2.02076011e-05,2.17954339e-07,2.02087765e-05
6,-7.11200000e-01,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
7,-4.26720000e-01,0.00000000e+00,3.91670163e-06,-5.70518877e-19,3.91670163e-06
8,-1.42240000e-01,0.00000000e+00,8.02530370e-06,-2.07799945e-18,8.02530370e-06
9,1.42240000e-01,0.00000000e+00,1.20766044e-05,-4.24297777e-18,1.20766044e-05
10,4.26720000e-01,0.00000000e+00,1.61440713e-05,-6.83775393e-18,1.61440713e-05
11,7.11200000e-01,0.00000000e+00,2.02070755e-05,-9.63986995e-18,2.02070755e-05
12,-7.11200000e-01,5.08000000e-02,0.00000000e+00,0.00000000e+00,0.00000000e+00
13,-4.26720000e-01,5.08000000e-02,3.93190500e-06,-2.69122994e-07,3.94110443e-06
14,-1.42240000e-01,5.08000000e-02,8.01794040e-06,-2.05970733e-07,8.02058552e-06
15,1.42240000e-01,5.08000000e-02,1.20792624e-05,-2.20304631e-07,1.20812712e-05
16,4.26720000e-01,5.08000000e-02,1.61431746e-05,-2.17135369e-07,1.61446349e-05
17,7.11200000e-01,5.08000000e-02,2.02076011e-05,-2.17954339e-07,2.02087765e-05
