node,ux_m,uy_m,uz_m,u_mag_m
1.0000000000e+00,1.8473098467e-05,0.0000000000e+00,7.6284038450e-05,7.8488915710e-05
2.0000000000e+00,3.6946196933e-05,0.0000000000e+00,0.0000000000e+00,3.6946196933e-05
3.0000000000e+00,2.0082591390e-05,-3.8758478532e-06,0.0000000000e+00,2.0453182479e-05
4.0000000000e+00,1.6863605543e-05,-3.8758478532e-06,0.0000000000e+00,1.7303276814e-05
5.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
6.0000000000e+00,1.6546125950e-05,5.5349874541e-06,0.0000000000e+00,1.7447359974e-05
7.0000000000e+00,2.0400070984e-05,5.5349874541e-06,0.0000000000e+00,2.1137620071e-05
