element,node_i,node_j,strain,stress_pa
1.0000000000e+00,1.0000000000e+00,2.0000000000e+00,1.4660714168e-05,1.0262499918e+06
2.0000000000e+00,1.0000000000e+00,3.0000000000e+00,-4.9839377394e-06,-3.4887564176e+05
3.0000000000e+00,1.0000000000e+00,4.0000000000e+00,-4.9839377394e-06,-3.4887564176e+05
4.0000000000e+00,1.0000000000e+00,5.0000000000e+00,1.4660714168e-05,1.0262499918e+06
5.0000000000e+00,1.0000000000e+00,6.0000000000e+00,-9.2984324385e-06,-6.5089027070e+05
6.0000000000e+00,1.0000000000e+00,7.0000000000e+00,-9.2984324385e-06,-6.5089027070e+05
7.0000000000e+00,2.0000000000e+00,3.0000000000e+00,1.9909807737e-06,1.3936865416e+05
8.0000000000e+00,3.0000000000e+00,4.0000000000e+00,2.2630665407e-06,1.5841465785e+05
9.0000000000e+00,4.0000000000e+00,5.0000000000e+00,1.9909807737e-06,1.3936865416e+05
1.0000000000e+01,5.0000000000e+00,6.0000000000e+00,5.2393725037e-06,3.6675607526e+05
1.1000000000e+01,6.0000000000e+00,7.0000000000e+00,5.0576706480e-06,3.5403694536e+05
1.2000000000e+01,7.0000000000e+00,2.0000000000e+00,5.2393725037e-06,3.6675607526e+05
