node,ux_m,uy_m,uz_m,u_mag_m
1.0000000000e+00,0.0000000000e+00,0.0000000000e+00,2.5936931582e-03,2.5936931582e-03
2.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1524086234e-03,3.1524086234e-03
3.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3367390124e-03,3.3367390124e-03
4.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.3367390124e-03,3.3367390124e-03
5.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.1524086234e-03,3.1524086234e-03
6.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00,0.0000000000e+00
7.0000000000e+00,0.0000000000e+00,0.0000000000e+00,3.0259753512e-03,3.0259753512e-03
