element,node_i,node_j,strain,stress_pa
1.0000000000e+00,1.0000000000e+00,2.0000000000e+00,1.6570912073e-06,1.1599638451e+05
2.0000000000e+00,1.0000000000e+00,3.0000000000e+00,1.7325388246e-06,1.2127771772e+05
3.0000000000e+00,1.0000000000e+00,4.0000000000e+00,1.7325388246e-06,1.2127771772e+05
4.0000000000e+00,1.0000000000e+00,5.0000000000e+00,1.6570912073e-06,1.1599638451e+05
5.0000000000e+00,1.0000000000e+00,6.0000000000e+00,1.4463283057e-06,1.0124298140e+05
6.0000000000e+00,1.0000000000e+00,7.0000000000e+00,1.4463283057e-06,1.0124298140e+05
7.0000000000e+00,2.0000000000e+00,3.0000000000e+00,0.0000000000e+00,0.0000000000e+00
8.0000000000e+00,3.0000000000e+00,4.0000000000e+00,0.0000000000e+00,0.0000000000e+00
9.0000000000e+00,4.0000000000e+00,5.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.0000000000e+01,5.0000000000e+00,6.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.1000000000e+01,6.0000000000e+00,7.0000000000e+00,0.0000000000e+00,0.0000000000e+00
1.2000000000e+01,7.0000000000e+00,2.0000000000e+00,0.0000000000e+00,0.0000000000e+00
