node,ux_ft,uy_ft,uz_ft,u_mag_ft
0,-4.35368518e-24,-3.57821382e-08,-2.19911795e-06,2.19940904e-06
1,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
