element,node_i,node_j,strain,stress_pa
0,0,1,-1.16471840e-08,-8.15302882e+02
1,0,2,-1.21710593e-08,-8.51974149e+02
2,0,3,-1.21710593e-08,-8.51974149e+02
3,0,4,-1.16471840e-08,-8.15302882e+02
4,0,5,-1.01980498e-08,-7.13863486e+02
5,0,6,-1.01980498e-08,-7.13863486e+02
6,1,2,0.00000000e+00,0.00000000e+00
7,2,3,0.00000000e+00,0.00000000e+00
8,3,4,0.00000000e+00,0.00000000e+00
9,4,5,0.00000000e+00,0.00000000e+00
10,5,6,0.00000000e+00,0.00000000e+00
11,6,1,0.00000000e+00,0.00000000e+00
