element,node_i,node_j,strain,stress_pa
0,0,1,-1.91344918e-07,-1.33941443e+04
1,0,2,-2.39432996e-07,-1.67603097e+04
2,0,3,-2.31176686e-07,-1.61823680e+04
3,0,4,-1.97127089e-07,-1.37988963e+04
4,0,5,-1.72606483e-07,-1.20824538e+04
5,0,6,-1.84755988e-07,-1.29329192e+04
6,1,2,9.38079217e-08,6.56655452e+03
7,2,3,8.94069672e-08,6.25848770e+03
8,3,4,8.85963705e-08,6.20174593e+03
9,4,5,1.06223171e-07,7.43562197e+03
10,5,6,9.84962199e-08,6.89473539e+03
11,6,1,1.07350433e-07,7.51453031e+03
