element,node_i,node_j,strain,stress_pa
0,0,1,3.06455606e-07,2.14518924e+04
1,0,2,-1.04180168e-07,-7.29261173e+03
2,0,3,-1.04180168e-07,-7.29261173e+03
3,0,4,3.06455606e-07,2.14518924e+04
4,0,5,-1.94366844e-07,-1.36056791e+04
5,0,6,-1.94366844e-07,-1.36056791e+04
6,1,2,4.16178375e-08,2.91324862e+03
7,2,3,4.73052963e-08,3.31137074e+03
8,3,4,4.16178375e-08,2.91324862e+03
9,4,5,1.09519567e-07,7.66636972e+03
10,5,6,1.05721420e-07,7.40049941e+03
11,6,1,1.09519567e-07,7.66636972e+03
