node,ux_m,uy_m,uz_m,u_mag_m
0,1.84730985e-05,0.00000000e+00,7.62840385e-05,7.84889157e-05
1,3.69461969e-05,0.00000000e+00,0.00000000e+00,3.69461969e-05
2,2.00825914e-05,-3.87584785e-06,0.00000000e+00,2.04531825e-05
3,1.68636055e-05,-3.87584785e-06,0.00000000e+00,1.73032768e-05
4,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,1.65461259e-05,5.53498745e-06,0.00000000e+00,1.74473600e-05
6,2.04000710e-05,5.53498745e-06,0.00000000e+00,2.11376201e-05
