node,ux_m,uy_m,uz_m,u_mag_m
0,0.00000000e+00,0.00000000e+00,2.59369316e-03,2.59369316e-03
1,0.00000000e+00,0.00000000e+00,3.15240862e-03,3.15240862e-03
2,0.00000000e+00,0.00000000e+00,3.33673901e-03,3.33673901e-03
3,0.00000000e+00,0.00000000e+00,3.33673901e-03,3.33673901e-03
4,0.00000000e+00,0.00000000e+00,3.15240862e-03,3.15240862e-03
5,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0.00000000e+00,0.00000000e+00,3.02597535e-03,3.02597535e-03
