node,ux_m,uy_m,uz_m,u_mag_m
0,-1.04227787e-22,-5.22201051e-07,-3.20937140e-05,3.20979621e-05
1,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
2,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
3,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
4,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
5,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
6,0.00000000e+00,0.00000000e+00,0.00000000e+00,0.00000000e+00
