element,node_i,node_j,strain,stress_pa
0,0,1,6.02504975e-07,4.21753482e+04
1,0,2,6.62575864e-07,4.63803105e+04
2,0,3,6.62575864e-07,4.63803105e+04
3,0,4,6.02504975e-07,4.21753482e+04
4,0,5,-3.31872122e-06,-2.32310485e+05
5,0,6,5.53120203e-07,3.87184142e+04
6,1,2,0.00000000e+00,0.00000000e+00
7,2,3,0.00000000e+00,0.00000000e+00
8,3,4,0.00000000e+00,0.00000000e+00
9,4,5,0.00000000e+00,0.00000000e+00
10,5,6,0.00000000e+00,0.00000000e+00
11,6,1,0.00000000e+00,0.00000000e+00
