element,node_i,node_j,strain,stress_pa
0,0,1,1.46607142e-05,1.02624999e+06
1,0,2,-4.98393774e-06,-3.48875642e+05
2,0,3,-4.98393774e-06,-3.48875642e+05
3,0,4,1.46607142e-05,1.02624999e+06
4,0,5,-9.29843244e-06,-6.50890271e+05
5,0,6,-9.29843244e-06,-6.50890271e+05
6,1,2,1.99098077e-06,1.39368654e+05
7,2,3,2.26306654e-06,1.58414658e+05
8,3,4,1.99098077e-06,1.39368654e+05
9,4,5,5.23937250e-06,3.66756075e+05
10,5,6,5.05767065e-06,3.54036945e+05
11,6,1,5.23937250e-06,3.66756075e+05
