element,node_i,node_j,strain,stress_pa
0,0,1,1.65709121e-06,1.15996385e+05
1,0,2,1.73253882e-06,1.21277718e+05
2,0,3,1.73253882e-06,1.21277718e+05
3,0,4,1.65709121e-06,1.15996385e+05
4,0,5,1.44632831e-06,1.01242981e+05
5,0,6,1.44632831e-06,1.01242981e+05
6,1,2,0.00000000e+00,0.00000000e+00
7,2,3,0.00000000e+00,0.00000000e+00
8,3,4,0.00000000e+00,0.00000000e+00
9,4,5,0.00000000e+00,0.00000000e+00
10,5,6,0.00000000e+00,0.00000000e+00
11,6,1,0.00000000e+00,0.00000000e+00
